订单号,交易流水号,刷卡时间,交易金额(元),线路号,车辆编号,票价(元)
U17B00339201802261849124150,184914209750,2018/2/26 18:49:12,1.00,2,1328,1.00
U17B00535201802261849136772,184914211492,2018/2/26 18:49:13,2.00,4,1615,2.00
U17B00785201802261849130078,184914209532,2018/2/26 18:49:13,2.00,2,2001,2.00
U17B00106201802261849146408,184916212253,2018/2/26 18:49:14,1.00,75,1341,1.00
U17B00650201802261849167802,184917210496,2018/2/26 18:49:16,1.00,12,1106,1.00
U17C01333201802261849156147,184915212067,2018/2/26 18:49:15,2.00,71,3039,2.00
U17900427201802261849150814,184917207787,2018/2/26 18:49:15,2.00,39,1454,2.00
U17B00341201802261849160071,184917212068,2018/2/26 18:49:16,0.01,4,1624,2.00
U17B00740201802261849166332,184917209751,2018/2/26 18:49:16,2.00,66,2403,2.00
U17B00805201802261849180058,184918208936,2018/2/26 18:49:18,0.50,92,1209,1.00
U17B00375201802261849173343,184918213006,2018/2/26 18:49:17,1.00,13,677,1.00
U17A00429201802261849198834,184920211497,2018/2/26 18:49:19,2.00,36,1464,2.00
U17C01393201802261849199590,184919207595,2018/2/26 18:49:19,2.00,71,3035,2.00
U17B00377201802261849185360,184920209127,2018/2/26 18:49:18,2.00,44,2107,2.00
U17B00535201802261849197836,184920210898,2018/2/26 18:49:19,2.00,4,1615,2.00
U17B00759201802261849190060,184920211100,2018/2/26 18:49:19,0.01,58,1431,2.00
U17900696201802261849202290,184921207982,2018/2/26 18:49:20,2.00,10,1630,2.00
U17A00487201802261849204092,184921210708,2018/2/26 18:49:20,2.00,39,1452,2.00
U17A00429201802261849217932,184922210314,2018/2/26 18:49:21,2.00,36,1464,2.00
U17B00470201802261849218798,184923210709,2018/2/26 18:49:21,1.00,13,1365,1.00
U17B00377201802261849239342,184924209535,2018/2/26 18:49:23,2.00,44,2107,2.00
U17B00595201802261849230048,184925209128,2018/2/26 18:49:23,0.50,94,2313,1.00
U17B00740201802261849245890,184924208583,2018/2/26 18:49:24,2.00,66,2403,2.00
U17B00165201802261849252518,184925211277,2018/2/26 18:49:25,2.00,5,852,2.00
U17C01124201802261849243593,184924211853,2018/2/26 18:49:24,2.00,19,3092,2.00
U17B00577201802261849257504,184926210114,2018/2/26 18:49:25,1.00,7,1352,1.00
U17900658201802261849266140,184927210710,2018/2/26 18:49:26,2.00,2,2008,2.00
U17B00650201802261849279554,184927212809,2018/2/26 18:49:27,1.00,12,1106,1.00
U17B00377201802261849278988,184928213007,2018/2/26 18:49:27,2.00,44,2107,2.00
U17A00447201802261849288770,184929211278,2018/2/26 18:49:28,2.00,39,1448,2.00
U17C01333201802261849289748,184928210498,2018/2/26 18:49:28,2.00,71,3039,2.00
U17B00339201802261849298258,184930211499,2018/2/26 18:49:29,1.00,2,1328,1.00
U17B00759201802261849297510,184930207599,2018/2/26 18:49:29,2.00,58,1431,2.00
U17000002201802261849322167,184931209753,2018/2/26 18:49:32,1.00,35,791,1.00
U17B00323201802261849310081,184931210116,2018/2/26 18:49:31,1.00,100,1806,2.00
U17B00535201802261849318408,184932211854,2018/2/26 18:49:31,2.00,4,1615,2.00
U17B00816201802261849344532,184932208941,2018/2/26 18:49:34,1.00,3,755,1.00
U17A00447201802261849322912,184933206972,2018/2/26 18:49:32,2.00,39,1448,2.00
U17C01040201802261849331571,184933212429,2018/2/26 18:49:33,2.00,19,3094,2.00
U17B00639201802261849340168,184934212072,2018/2/26 18:49:34,2.00,44,2111,2.00
U17C01393201802261849333265,184933211855,2018/2/26 18:49:33,2.00,71,3035,2.00
U17B00150201802261849338405,184935213405,2018/2/26 18:49:33,1.00,51,1376,1.00
U17A00429201802261849351038,184936207987,2018/2/26 18:49:35,2.00,36,1464,2.00
U17B00716201802261849365354,184936211501,2018/2/26 18:49:36,1.00,70,1909,1.00
