订单号,交易流水号,刷卡时间,交易金额(元),线路号,车辆编号,票价(元)
U17A00894201802261729579156,172958169406,2018/2/26 17:29:57,1.00,74,1498,1.00
U17B00676201802261729574326,172958164380,2018/2/26 17:29:57,1.00,36,1482,1.00
U17900076201802261729599224,172959167661,2018/2/26 17:29:59,2.00,36,1640,2.00
U17B00800201802261730006092,172959164773,2018/2/26 17:30:00,1.00,12,1107,1.00
U17A00487201802261730017140,173002169411,2018/2/26 17:30:01,2.00,39,1452,2.00
U17B00563201802261730023480,173003165350,2018/2/26 17:30:02,2.00,32,2114,2.00
U17A01235201802261730043812,173004164959,2018/2/26 17:30:04,1.00,37,2301,1.00
U17B00557201802261730026343,173004165547,2018/2/26 17:30:02,1.00,75,1339,1.00
U17B00838201802261730041746,173005164383,2018/2/26 17:30:04,2.00,59,2079,2.00
U17B00641201802261730042898,173005166887,2018/2/26 17:30:04,2.00,74,1607,2.00
U17B00653201802261730037254,173006169218,2018/2/26 17:30:03,1.00,17,1159,1.00
U17B00712201802261730061996,173006167079,2018/2/26 17:30:06,2.00,4,3018,2.00
U17900731201802261730058524,173007165748,2018/2/26 17:30:05,2.00,39,1449,2.00
U17B00336201802261730064034,173007164776,2018/2/26 17:30:06,1.00,43,915,1.00
U17B00605201802261730070078,173008166328,2018/2/26 17:30:07,0.50,94,2311,1.00
U17B00676201802261730079398,173007168466,2018/2/26 17:30:07,1.00,36,1482,1.00
U17900231201802261730093794,173007168075,2018/2/26 17:30:09,2.00,36,3007,2.00
U17B00240201802261730070036,173009169412,2018/2/26 17:30:07,0.50,22,1221,1.00
U17A00006201802261730069258,173008163785,2018/2/26 17:30:06,2.00,10,1413,2.00
U17B00563201802261730087738,173009165158,2018/2/26 17:30:08,2.00,32,2114,2.00
U17B00641201802261730074023,173009165551,2018/2/26 17:30:07,2.00,74,1607,2.00
U17A00313201802261730090077,173010166329,2018/2/26 17:30:09,1.00,6,1474,2.00
U17A00894201802261730103631,173011163389,2018/2/26 17:30:10,1.00,74,1498,1.00
U17B00612201802261730112204,173011166513,2018/2/26 17:30:11,2.00,27,847,2.00
U17B00641201802261730100728,173011168630,2018/2/26 17:30:10,2.00,74,1607,2.00
U17C00312201802261730126112,173011164386,2018/2/26 17:30:12,2.00,35,3114,2.00
U17C01055201802261730093486,173011165160,2018/2/26 17:30:09,2.00,33,3108,2.00
U17900076201802261730120076,173012169413,2018/2/26 17:30:12,1.00,36,1640,2.00
U17900684201802261730127868,173012164184,2018/2/26 17:30:12,2.00,10,1416,2.00
U17A01243201802261730127338,173012169222,2018/2/26 17:30:12,2.00,6,1478,2.00
U17B00860201802261730125736,173013166698,2018/2/26 17:30:12,1.00,3,763,1.00
U17601018201802261730130073,173013165162,2018/2/26 17:30:13,0.50,7,1349,1.00
U17A00376201802261730115786,173011167289,2018/2/26 17:30:11,2.00,39,1443,2.00
U17B00240201802261730120037,173014166514,2018/2/26 17:30:12,0.50,22,1221,1.00
U17B00821201802261730117280,173013163574,2018/2/26 17:30:11,2.00,69,2443,2.00
U17900192201802261730151108,173014164554,2018/2/26 17:30:15,2.00,10,1419,2.00
U17C01055201802261730125852,173014167082,2018/2/26 17:30:12,2.00,33,3108,2.00
U17A00389201802261730143917,173015168469,2018/2/26 17:30:14,2.00,39,1447,2.00
U17A00487201802261730140104,173015164186,2018/2/26 17:30:14,2.00,39,1452,2.00
U17B00695201802261730156636,173015168633,2018/2/26 17:30:15,2.00,100,1810,2.00
U17601018201802261730170074,173017169015,2018/2/26 17:30:17,1.00,7,1349,1.00
U17B00387201802261730150021,173016163788,2018/2/26 17:30:15,1.00,95,1238,1.00
U17A00376201802261730180930,173017166152,2018/2/26 17:30:18,2.00,39,1443,2.00
U17B00223201802261730157450,173017164778,2018/2/26 17:30:15,2.00,27,844,2.00
U17A00389201802261730170910,173018163792,2018/2/26 17:30:17,2.00,39,1447,2.00
U17B00504201802261730182958,173018166153,2018/2/26 17:30:18,2.00,4,1622,2.00
U17B00743201802261730180067,173019164556,2018/2/26 17:30:18,0.50,46,2286,1.00
U17A00376201802261730214796,173020163394,2018/2/26 17:30:21,2.00,39,1443,2.00
U17C00312201802261730202260,173020164781,2018/2/26 17:30:20,2.00,35,3114,2.00
U17C00535201802261730193478,173020168079,2018/2/26 17:30:19,2.00,11,3074,2.00
U17900640201802261730198104,173021164965,2018/2/26 17:30:19,2.00,10,1417,2.00
U17A00389201802261730205910,173021166155,2018/2/26 17:30:20,2.00,39,1447,2.00
U17B00414201802261730224642,173022164966,2018/2/26 17:30:22,2.00,59,2093,2.00
U17C01055201802261730198128,173021165357,2018/2/26 17:30:19,2.00,33,3108,2.00
U17900438201802261730214010,173023163396,2018/2/26 17:30:21,2.00,1,826,2.00
U17A00389201802261730221484,173023165168,2018/2/26 17:30:22,2.00,39,1447,2.00
U17B00240201802261730212943,173022166894,2018/2/26 17:30:21,1.00,22,1221,1.00
U17900427201802261730218998,173024165169,2018/2/26 17:30:21,2.00,39,1454,2.00
U17B00387201802261730230022,173024164782,2018/2/26 17:30:23,1.00,95,1238,1.00
U17C00535201802261730231322,173024166334,2018/2/26 17:30:23,2.00,11,3074,2.00
U17C00723201802261730247378,173024168082,2018/2/26 17:30:24,2.00,71,3034,2.00
U17A00376201802261730260050,173026168839,2018/2/26 17:30:26,2.00,39,1443,2.00
U17B00734201802261730244818,173025169018,2018/2/26 17:30:24,2.00,66,2408,2.00
U17B00877201802261730252206,173025163795,2018/2/26 17:30:25,1.00,3,760,1.00
U17501037201802261730273714,173025168471,2018/2/26 17:30:27,2.00,59,2080,2.00
U17900731201802261730242658,173026168258,2018/2/26 17:30:24,2.00,39,1449,2.00
U17A00389201802261730255921,173026164191,2018/2/26 17:30:25,2.00,39,1447,2.00
U17A00470201802261730251589,173025167294,2018/2/26 17:30:25,2.00,39,1455,2.00
U17B00240201802261730242090,173026164388,2018/2/26 17:30:24,1.00,22,1221,1.00
U17900231201802261730264384,173024165755,2018/2/26 17:30:26,2.00,36,3007,2.00
U17A00470201802261730273638,173027166896,2018/2/26 17:30:27,2.00,39,1455,2.00
U17C01055201802261730260440,173028163582,2018/2/26 17:30:26,2.00,33,3108,2.00
U17900192201802261730290798,173028169416,2018/2/26 17:30:29,2.00,10,1419,2.00
U17B00223201802261730277188,173028167084,2018/2/26 17:30:27,2.00,27,844,2.00
U17B00476201802261730276362,173028167672,2018/2/26 17:30:27,1.00,75,1332,1.00
U17B00532201802261730271060,173028169415,2018/2/26 17:30:27,2.00,807,2435,2.00
U17C00312201802261730282430,173028166522,2018/2/26 17:30:28,2.00,35,3114,2.00
U17900070201802261730288176,173029163995,2018/2/26 17:30:28,2.00,2,2004,2.00
U17900640201802261730286686,173029164389,2018/2/26 17:30:28,2.00,10,1417,2.00
U17A00389201802261730287407,173029164194,2018/2/26 17:30:28,2.00,39,1447,2.00
U17B00387201802261730285198,173029164559,2018/2/26 17:30:28,1.00,95,1238,1.00
U17B00597201802261730300062,173029165759,2018/2/26 17:30:30,1.00,44,2128,2.00
U17900541201802261730304076,173030165955,2018/2/26 17:30:30,2.00,10,1422,2.00
U17A00422201802261730285429,173029168474,2018/2/26 17:30:28,2.00,801,2027,2.00
U17A00894201802261730305606,173031163585,2018/2/26 17:30:30,1.00,74,1498,1.00
U17B00375201802261730311072,173031163586,2018/2/26 17:30:31,1.00,13,677,1.00
U17B00414201802261730323518,173032167674,2018/2/26 17:30:32,2.00,59,2093,2.00
U17A00389201802261730311978,173032164786,2018/2/26 17:30:31,2.00,39,1447,2.00
U17A00888201802261730316768,173032163798,2018/2/26 17:30:31,2.00,801,2030,2.00
U17B00357201802261730320018,173032163998,2018/2/26 17:30:32,2.00,805,2154,2.00
U17900231201802261730341780,173033164560,2018/2/26 17:30:34,2.00,36,3007,2.00
U17B00597201802261730352302,173034166337,2018/2/26 17:30:35,2.00,44,2128,2.00
U17900684201802261730359511,173035165560,2018/2/26 17:30:35,2.00,10,1416,2.00
U17A00378201802261730349046,173035168476,2018/2/26 17:30:34,2.00,39,1437,2.00
U17A00470201802261730350138,173035166162,2018/2/26 17:30:35,2.00,39,1455,2.00
U17A00894201802261730344066,173035169021,2018/2/26 17:30:34,1.00,74,1498,1.00
U17B00563201802261730357078,173036168478,2018/2/26 17:30:35,2.00,32,2114,2.00
U17B00668201802261730344032,173035169419,2018/2/26 17:30:34,1.00,17,1155,1.00
U17C00312201802261730366550,173035166524,2018/2/26 17:30:36,2.00,35,3114,2.00
U17601180201802261730396378,173037167298,2018/2/26 17:30:39,1.00,35,789,1.00
U17900640201802261730368824,173037164789,2018/2/26 17:30:36,2.00,10,1417,2.00
U17900653201802261730355768,173037168261,2018/2/26 17:30:35,1.00,36,1485,1.00
U17B00414201802261730371632,173037164198,2018/2/26 17:30:37,2.00,59,2093,2.00
U17B00473201802261730377630,173038167087,2018/2/26 17:30:37,2.00,20,2103,2.00
U17B00597201802261730382472,173038170000,2018/2/26 17:30:38,2.00,44,2128,2.00
U17C01393201802261730370089,173038164974,2018/2/26 17:30:37,0.01,71,3035,2.00
U17B00476201802261730380042,173040165962,2018/2/26 17:30:38,0.50,75,1332,1.00
U17B00326201802261730397230,173040166709,2018/2/26 17:30:39,2.00,4,1611,2.00
U17B00098201802261730413956,173041167677,2018/2/26 17:30:41,1.00,51,1375,1.00
U17B00785201802261730412940,173041166710,2018/2/26 17:30:41,2.00,2,2001,2.00
U17900640201802261730415974,173042164566,2018/2/26 17:30:41,2.00,10,1417,2.00
U17B00340201802261730419896,173042168087,2018/2/26 17:30:41,2.00,79,2045,2.00
U17900231201802261730457266,173044166902,2018/2/26 17:30:45,2.00,36,3007,2.00
U17B00476201802261730420043,173044167478,2018/2/26 17:30:42,0.50,75,1332,1.00
U17B00543201802261730432526,173043168483,2018/2/26 17:30:43,1.00,75,1334,1.00
U17601707201802261730455444,173045164393,2018/2/26 17:30:45,2.00,59,2092,2.00
U17A00389201802261730455828,173045169026,2018/2/26 17:30:45,2.00,39,1447,2.00
U17A00470201802261730441064,173044169024,2018/2/26 17:30:44,2.00,39,1455,2.00
U17B00400201802261730433814,173046168485,2018/2/26 17:30:43,2.00,4,1616,2.00
U17B00668201802261730431452,173045164569,2018/2/26 17:30:43,1.00,17,1155,1.00
U17900640201802261730445462,173046164394,2018/2/26 17:30:44,2.00,10,1417,2.00
U17B00116201802261730469644,173047168486,2018/2/26 17:30:46,1.00,9,911,1.00
U17B00476201802261730449707,173046167679,2018/2/26 17:30:44,1.00,75,1332,1.00
U17C01173201802261730489150,173046165564,2018/2/26 17:30:48,2.00,33,3104,2.00
U17B00095201802261730480019,173048168849,2018/2/26 17:30:48,1.00,51,2137,2.00
U17900066201802261730476818,173048166531,2018/2/26 17:30:47,2.00,1,828,2.00
U17B00339201802261730473440,173049166713,2018/2/26 17:30:47,1.00,2,1328,1.00
U17B00522201802261730471604,173049166712,2018/2/26 17:30:47,2.00,27,845,2.00
U17B00413201802261730474478,173049168487,2018/2/26 17:30:47,1.00,94,2312,1.00
U17A00389201802261730500372,173050164797,2018/2/26 17:30:50,2.00,39,1447,2.00
U17B00775201802261730499292,173051168265,2018/2/26 17:30:49,2.00,13,2014,2.00
U17B00776201802261730508517,173051169426,2018/2/26 17:30:50,1.00,3,767,1.00
U17B00496201802261730511208,173052169028,2018/2/26 17:30:51,2.00,69,2441,2.00
U17A00894201802261730528120,173053168490,2018/2/26 17:30:52,1.00,74,1498,1.00
U17B00656201802261730521920,173053168089,2018/2/26 17:30:52,2.00,27,848,2.00
U17601707201802261730543308,173054166716,2018/2/26 17:30:54,2.00,59,2092,2.00
U17900640201802261730530096,173055167094,2018/2/26 17:30:53,2.00,10,1417,2.00
U17A01104201802261730510048,173053167302,2018/2/26 17:30:51,2.00,10,1415,2.00
U17700393201802261730541622,173056166166,2018/2/26 17:30:54,2.00,38,2071,2.00
U17B00400201802261730529830,173055169029,2018/2/26 17:30:52,2.00,4,1616,2.00
U17900684201802261730575868,173057166904,2018/2/26 17:30:57,2.00,10,1416,2.00
U17900307201802261730593050,173059167305,2018/2/26 17:30:59,1.00,3,757,1.00
U17A01204201802261730560522,173058170402,2018/2/26 17:30:56,2.00,10,1403,2.00
U17A01204201802261730587958,173100169806,2018/2/26 17:30:58,2.00,10,1403,2.00
U17B00785201802261731006836,173100166905,2018/2/26 17:31:00,2.00,2,2001,2.00
U17C01124201802261731000378,173100165969,2018/2/26 17:31:00,2.00,19,3092,2.00
U17900307201802261731019238,173101166167,2018/2/26 17:31:01,1.00,3,757,1.00
U17900472201802261731030096,173101168492,2018/2/26 17:31:03,0.50,35,796,1.00
U17B00643201802261730595378,173101165375,2018/2/26 17:30:59,1.00,22,1224,1.00
U17A00389201802261731019571,173102169612,2018/2/26 17:31:01,2.00,39,1447,2.00
U17A01104201802261731009255,173102169809,2018/2/26 17:31:00,2.00,10,1415,2.00
U17B00106201802261731004000,173102167308,2018/2/26 17:31:00,1.00,75,1341,1.00
U17B00394201802261731026526,173103169810,2018/2/26 17:31:02,2.00,8,2053,2.00
U17B00543201802261731002890,173101169611,2018/2/26 17:31:00,1.00,75,1334,1.00
U17B00630201802261731037546,173104167683,2018/2/26 17:31:03,1.00,75,1343,1.00
U17900066201802261731039778,173105168093,2018/2/26 17:31:03,2.00,1,828,2.00
U17B00580201802261731023810,173104169032,2018/2/26 17:31:02,2.00,4,1612,2.00
U17900063201802261731047970,173105169813,2018/2/26 17:31:04,1.00,6,1495,1.00
U17B00342201802261731076502,173106170010,2018/2/26 17:31:07,2.00,33,3102,2.00
U17B00476201802261731039252,173106170008,2018/2/26 17:31:03,1.00,75,1332,1.00
U17B00582201802261731061532,173107170602,2018/2/26 17:31:06,2.00,100,1804,2.00
U17C01043201802261731098100,173107169814,2018/2/26 17:31:09,2.00,19,3090,2.00
U17C01173201802261731081266,173106168270,2018/2/26 17:31:08,2.00,33,3104,2.00
U17900063201802261731061276,173107168495,2018/2/26 17:31:06,1.00,6,1495,1.00
U17B00346201802261731081608,173108164578,2018/2/26 17:31:08,2.00,4,1621,2.00
U17B00394201802261731084974,173108170012,2018/2/26 17:31:08,2.00,8,2053,2.00
U17B00582201802261731097000,173110166722,2018/2/26 17:31:09,2.00,100,1804,2.00
U17900472201802261731130099,173110169235,2018/2/26 17:31:13,0.50,35,796,1.00
U17B00498201802261731093098,173110167099,2018/2/26 17:31:09,1.00,58,1487,1.00
U17B00582201802261731123880,173112165181,2018/2/26 17:31:12,2.00,100,1804,2.00
U17B00641201802261731115612,173113167899,2018/2/26 17:31:11,2.00,74,1607,2.00
U17900472201802261731168014,173113165380,2018/2/26 17:31:16,1.00,35,796,1.00
U17A01104201802261731103515,173112168652,2018/2/26 17:31:10,2.00,10,1415,2.00
U17900063201802261731136523,173114168097,2018/2/26 17:31:13,1.00,6,1495,1.00
U17A01104201802261731136170,173115167900,2018/2/26 17:31:13,2.00,10,1415,2.00
U17B00676201802261731143048,173115170409,2018/2/26 17:31:14,1.00,36,1482,1.00
U17B00785201802261731151236,173116168654,2018/2/26 17:31:15,2.00,2,2001,2.00
U17900231201802261731193922,173117163599,2018/2/26 17:31:19,2.00,36,3007,2.00
U17C01357201802261731173634,173117163598,2018/2/26 17:31:17,2.00,33,3105,2.00
U17B00582201802261731172836,173118167902,2018/2/26 17:31:17,2.00,100,1804,2.00
U17900063201802261731185048,173119165383,2018/2/26 17:31:18,1.00,6,1495,1.00
U17A01098201802261731181246,173119164984,2018/2/26 17:31:18,2.00,74,1605,2.00
U17B00498201802261731196600,173119166537,2018/2/26 17:31:19,1.00,58,1487,1.00
U17B00528201802261731194378,173121165777,2018/2/26 17:31:19,2.00,16,2426,2.00
U17B00724201802261731206476,173120165385,2018/2/26 17:31:20,2.00,44,2126,2.00
U17B00797201802261731200880,173119166910,2018/2/26 17:31:20,1.00,76,983,1.00
U17900192201802261731219104,173121169236,2018/2/26 17:31:21,2.00,10,1419,2.00
U17B00400201802261731183952,173121170606,2018/2/26 17:31:18,2.00,4,1616,2.00
U17B00582201802261731211980,173121165386,2018/2/26 17:31:21,2.00,100,1804,2.00
U17B00724201802261731230662,173123167107,2018/2/26 17:31:23,2.00,44,2126,2.00
U17900063201802261731224152,173123168278,2018/2/26 17:31:22,1.00,6,1495,1.00
U17B00308201802261731210574,173123165778,2018/2/26 17:31:21,1.00,46,1304,1.00
U17B00498201802261731231428,173123167687,2018/2/26 17:31:23,1.00,58,1487,1.00
U17900633201802261731249610,173124164582,2018/2/26 17:31:24,2.00,10,1423,2.00
U17B00820201802261731230041,173124169435,2018/2/26 17:31:23,1.00,20,2097,2.00
U17601707201802261731243362,173124165183,2018/2/26 17:31:24,2.00,59,2092,2.00
U17900108201802261731230126,173125169239,2018/2/26 17:31:23,2.00,6,1470,2.00
U17900716201802261731249523,173125166174,2018/2/26 17:31:24,1.00,35,782,1.00
U17B00387201802261731250023,173126164986,2018/2/26 17:31:25,0.50,95,1238,1.00
U17B00394201802261731278246,173127167318,2018/2/26 17:31:27,2.00,8,2053,2.00
U17A00862201802261731288464,173128167906,2018/2/26 17:31:28,2.00,77,2017,2.00
U17B00387201802261731270024,173128167692,2018/2/26 17:31:27,0.50,95,1238,1.00
U17B00400201802261731250754,173128168100,2018/2/26 17:31:25,2.00,4,1616,2.00
U17B00724201802261731281664,173128169817,2018/2/26 17:31:28,2.00,44,2126,2.00
U17B00400201802261731278254,173129166914,2018/2/26 17:31:27,2.00,4,1616,2.00
U17B00500201802261731291807,173129164583,2018/2/26 17:31:29,2.00,20,2104,2.00
U17C01386201802261731296460,173129168279,2018/2/26 17:31:29,2.00,71,3033,2.00
U17B00650201802261731303574,173130165392,2018/2/26 17:31:30,1.00,12,1106,1.00
U17900231201802261731342450,173132167319,2018/2/26 17:31:34,2.00,36,3007,2.00
U17B00724201802261731320070,173132167693,2018/2/26 17:31:32,2.00,44,2126,2.00
U17B00735201802261731326446,173133169818,2018/2/26 17:31:32,1.00,17,1149,1.00
U17B00797201802261731323946,173132165976,2018/2/26 17:31:32,1.00,76,983,1.00
U17A00393201802261731323174,173132168865,2018/2/26 17:31:32,2.00,6,1475,2.00
U17B00157201802261731328130,173133168866,2018/2/26 17:31:32,2.00,5,859,2.00
U17B00400201802261731311548,173134170805,2018/2/26 17:31:31,2.00,4,1616,2.00
U17900719201802261731328517,173133167108,2018/2/26 17:31:32,2.00,1,823,2.00
U17B00094201802261731326200,173134168280,2018/2/26 17:31:32,1.00,7,1359,1.00
U17B00589201802261731344284,173134169621,2018/2/26 17:31:34,1.00,23,2317,1.00
U17B00631201802261731338300,173134165393,2018/2/26 17:31:33,2.00,5,2033,2.00
U17B00735201802261731345594,173135165978,2018/2/26 17:31:34,1.00,17,1149,1.00
U17900739201802261731356402,173135165395,2018/2/26 17:31:35,2.00,6,1477,2.00
U17B00493201802261731345190,173136168104,2018/2/26 17:31:34,2.00,27,2060,2.00
U17601707201802261731358476,173136170807,2018/2/26 17:31:35,2.00,59,2092,2.00
U17900070201802261731353492,173136167322,2018/2/26 17:31:35,2.00,2,2004,2.00
U17B00342201802261731367700,173136165780,2018/2/26 17:31:36,2.00,33,3102,2.00
U17B00591201802261731363082,173137166917,2018/2/26 17:31:36,2.00,100,1805,2.00
U17B00631201802261731354263,173137165581,2018/2/26 17:31:35,2.00,5,2033,2.00
U17C00312201802261731368705,173136170219,2018/2/26 17:31:36,2.00,35,3114,2.00
U17B00575201802261731383512,173137170808,2018/2/26 17:31:38,2.00,20,2101,2.00
U17900076201802261731386726,173139167491,2018/2/26 17:31:38,2.00,36,1640,2.00
U17B00705201802261731390112,173139167697,2018/2/26 17:31:39,2.00,74,1602,2.00
U17900231201802261731445154,173142170417,2018/2/26 17:31:44,2.00,36,3007,2.00
U17B00533201802261731414824,173141170222,2018/2/26 17:31:41,1.00,35,786,1.00
U17B00413201802261731399850,173141165186,2018/2/26 17:31:39,1.00,94,2312,1.00
U17B00797201802261731430446,173142168282,2018/2/26 17:31:43,1.00,76,983,1.00
U17A00490201802261731429074,173143165783,2018/2/26 17:31:42,2.00,39,1446,2.00
U17B00541201802261731420022,173143164585,2018/2/26 17:31:42,0.50,48,691,1.00
U17B00722201802261731420035,173143168868,2018/2/26 17:31:42,0.50,13,671,1.00
U17B00157201802261731439794,173144165583,2018/2/26 17:31:43,2.00,5,859,2.00
U17B00722201802261731444380,173144170224,2018/2/26 17:31:44,1.00,13,671,1.00
U17B00822201802261731433741,173143165782,2018/2/26 17:31:43,1.00,12,1111,1.00
U17601707201802261731452444,173145165187,2018/2/26 17:31:45,2.00,59,2092,2.00
U17B00695201802261731460942,173146169243,2018/2/26 17:31:46,2.00,100,1810,2.00
U17B00822201802261731465652,173146169440,2018/2/26 17:31:46,1.00,12,1111,1.00
U17C01032201802261731467714,173146164990,2018/2/26 17:31:46,2.00,51,3111,2.00
U17B00813201802261731457022,173147168661,2018/2/26 17:31:45,1.00,80,681,1.00
U17900665201802261731489746,173148167111,2018/2/26 17:31:48,2.00,10,1418,2.00
U17B00533201802261731491606,173149165189,2018/2/26 17:31:49,1.00,35,786,1.00
U17B00631201802261731479603,173149166182,2018/2/26 17:31:47,2.00,5,2033,2.00
U17B00684201802261731487498,173150169244,2018/2/26 17:31:48,1.00,806,1278,1.00
U17900317201802261731494218,173150164993,2018/2/26 17:31:49,2.00,10,1428,2.00
U17B00373201802261731510036,173151165190,2018/2/26 17:31:51,1.00,805,854,2.00
U17B00413201802261731472170,173149167912,2018/2/26 17:31:47,1.00,94,2312,1.00
U17B00477201802261731497262,173150166184,2018/2/26 17:31:49,2.00,51,2138,2.00
U17B00722201802261731496116,173150167494,2018/2/26 17:31:49,1.00,13,671,1.00
U17B00797201802261731498304,173149169823,2018/2/26 17:31:49,1.00,76,983,1.00
U17900423201802261731502050,173151166921,2018/2/26 17:31:50,2.00,10,1425,2.00
U17A00381201802261731502292,173151170611,2018/2/26 17:31:50,2.00,39,1445,2.00
U17C01032201802261731515936,173151166185,2018/2/26 17:31:51,2.00,51,3111,2.00
U17900751201802261731518752,173152164586,2018/2/26 17:31:51,2.00,10,1411,2.00
U17B00522201802261731515115,173152165784,2018/2/26 17:31:51,2.00,27,845,2.00
U17B00722201802261731514660,173152170613,2018/2/26 17:31:51,1.00,13,671,1.00
U17900710201802261731521922,173153169441,2018/2/26 17:31:52,2.00,10,1407,2.00
U17B00735201802261731514454,173152165981,2018/2/26 17:31:51,1.00,17,1149,1.00
U17B00797201802261731547170,173153167114,2018/2/26 17:31:54,1.00,76,983,1.00
U17C01094201802261731554364,173153166356,2018/2/26 17:31:55,2.00,19,3095,2.00
U17900739201802261731534593,173153170814,2018/2/26 17:31:53,2.00,6,1477,2.00
U17900751201802261731546500,173155167700,2018/2/26 17:31:54,2.00,10,1411,2.00
U17A00327201802261731546606,173154166548,2018/2/26 17:31:54,2.00,39,1453,2.00
U17B00775201802261731529072,173154168870,2018/2/26 17:31:52,2.00,13,2014,2.00
U17B00275201802261731555143,173155170018,2018/2/26 17:31:55,2.00,807,2432,2.00
U17900710201802261731556716,173156167115,2018/2/26 17:31:55,2.00,10,1407,2.00
U17A00327201802261731570268,173157169442,2018/2/26 17:31:57,2.00,39,1453,2.00
U17B00275201802261731564180,173156167916,2018/2/26 17:31:56,2.00,807,2432,2.00
U17B00631201802261731556998,173156170420,2018/2/26 17:31:55,2.00,5,2033,2.00
U17B00564201802261731539874,173157168666,2018/2/26 17:31:53,1.00,7,1357,1.00
U17B00612201802261731569164,173156168287,2018/2/26 17:31:56,2.00,27,847,2.00
U17A00381201802261731586110,173158170020,2018/2/26 17:31:58,2.00,39,1445,2.00
U17B00329201802261731570050,173158166187,2018/2/26 17:31:57,0.50,35,790,1.00
U17B00341201802261731571894,173158167325,2018/2/26 17:31:57,2.00,4,1624,2.00
U17B00373201802261731581444,173158165984,2018/2/26 17:31:58,2.00,805,854,2.00
U17900739201802261731591490,173159169825,2018/2/26 17:31:59,2.00,6,1477,2.00
U17900751201802261731590051,173200164588,2018/2/26 17:31:59,1.00,10,1411,2.00
U17B00533201802261731590043,173159168289,2018/2/26 17:31:59,0.50,35,786,1.00
U17B00722201802261731588182,173159170615,2018/2/26 17:31:58,1.00,13,671,1.00
U17B00797201802261732002538,173159166924,2018/2/26 17:32:00,1.00,76,983,1.00
U17B00581201802261732000009,173200169444,2018/2/26 17:32:00,2.00,40,1634,2.00
U17B00822201802261732005456,173200169632,2018/2/26 17:32:00,1.00,12,1111,1.00
U17A00383201802261731596568,173201168667,2018/2/26 17:31:59,2.00,36,1462,2.00
U17A01243201802261732015306,173202166733,2018/2/26 17:32:01,2.00,6,1478,2.00
U17B00533201802261732010044,173201170819,2018/2/26 17:32:01,0.50,35,786,1.00
U17B00724201802261732000967,173200169047,2018/2/26 17:32:00,2.00,44,2126,2.00
U17900427201802261732005894,173203169633,2018/2/26 17:32:00,2.00,39,1454,2.00
U17900665201802261732034636,173203170423,2018/2/26 17:32:03,2.00,10,1418,2.00
U17A00383201802261732011514,173203164998,2018/2/26 17:32:01,2.00,36,1462,2.00
U17B00612201802261732017700,173202166359,2018/2/26 17:32:01,2.00,27,847,2.00
U17B00684201802261732009802,173202167918,2018/2/26 17:32:00,1.00,806,1278,1.00
U17B00769201802261732027266,173202167498,2018/2/26 17:32:02,2.00,69,2436,2.00
U17B00836201802261732035850,173202167117,2018/2/26 17:32:03,1.00,57,1123,1.00
U17B00477201802261732035810,173204167919,2018/2/26 17:32:03,2.00,51,2138,2.00
U17B00832201802261732028440,173204169829,2018/2/26 17:32:02,1.00,12,1243,1.00
U17900670201802261732048950,173205170617,2018/2/26 17:32:04,2.00,36,1639,2.00
U17A00327201802261732033437,173203166735,2018/2/26 17:32:03,2.00,39,1453,2.00
U17B00414201802261732047031,173204166926,2018/2/26 17:32:04,2.00,59,2093,2.00
U17B00515201802261732030056,173204167118,2018/2/26 17:32:03,1.00,44,2129,2.00
U17B00684201802261732030012,173205166927,2018/2/26 17:32:03,0.50,806,1278,1.00
U17A00463201802261732032912,173204167501,2018/2/26 17:32:03,1.00,75,1340,1.00
U17B00446201802261732046634,173205169830,2018/2/26 17:32:04,2.00,100,1809,2.00
U17B00477201802261732054464,173205165985,2018/2/26 17:32:05,2.00,51,2138,2.00
U17B00498201802261732040002,173205166737,2018/2/26 17:32:04,0.50,58,1487,1.00
U17B00624201802261732041660,173206165194,2018/2/26 17:32:04,2.00,69,2438,2.00
U17C01171201802261732067474,173206165986,2018/2/26 17:32:06,2.00,33,3103,2.00
U17A00327201802261732075108,173207170820,2018/2/26 17:32:07,2.00,39,1453,2.00
U17B00314201802261732070060,173207170024,2018/2/26 17:32:07,2.00,51,2139,2.00
U17B00684201802261732063928,173208171005,2018/2/26 17:32:06,1.00,806,1278,1.00
U17B00631201802261732073302,173208166929,2018/2/26 17:32:07,2.00,5,2033,2.00
U17B00612201802261732098238,173209170232,2018/2/26 17:32:09,2.00,27,847,2.00
U17900665201802261732114680,173211170824,2018/2/26 17:32:11,2.00,10,1418,2.00
U17A01083201802261732100840,173210169251,2018/2/26 17:32:10,2.00,801,2023,2.00
U17B00477201802261732101846,173211169252,2018/2/26 17:32:10,2.00,51,2138,2.00
U17B00612201802261732110092,173212166190,2018/2/26 17:32:11,1.00,27,847,2.00
U17B00680201802261732110040,173211165791,2018/2/26 17:32:11,1.00,57,1129,1.00
U17B00684201802261732100013,173212170427,2018/2/26 17:32:10,0.50,806,1278,1.00
U17B00722201802261732104116,173211170620,2018/2/26 17:32:10,1.00,13,671,1.00
U17A00393201802261732122848,173212171007,2018/2/26 17:32:12,2.00,6,1475,2.00
U17B00624201802261732115750,173212165198,2018/2/26 17:32:11,2.00,69,2438,2.00
U17900108201802261732112066,173214168876,2018/2/26 17:32:11,2.00,6,1470,2.00
