1609,4001,25,31.350243,104.821301,22760
1609,4001,25,31.350243,104.821301,22764
1609,4001,25,31.350243,104.821301,22773
1609,4001,25,31.350243,104.821301,22775
1609,4001,25,31.350243,104.821301,22802
1609,4001,52,31.351405,104.822876,22814
1609,4001,52,31.351405,104.822876,22822
1609,4001,52,31.351405,104.822876,22826
1609,4001,52,31.351405,104.822876,22829
1609,4001,52,31.351405,104.822876,22840
1486,58001,3,31.475341,104.765687,22891
1609,4001,26,31.360586,104.816736,22907
1432,58001,19,31.43373,104.768585,22926
1627,4001,50,31.453926,104.752492,23054
1609,4001,49,31.365844,104.805024,23056
1609,4001,49,31.365844,104.805024,23063
1609,4001,49,31.365844,104.805024,23068
1609,4001,49,31.365844,104.805024,23073
775,3001,19,31.459967,104.716731,23084
1627,4001,5,31.445685,104.751771,23128
1617,4001,26,31.360586,104.816736,23300
1627,4001,6,31.446001,104.755547,23303
1442,39001,24,31.476734,104.670884,23313
1610,4001,5,31.445685,104.751771,23449
1609,4001,31,31.403032,104.789768,23453
2105,44001,12,31.46792,104.766223,23467
759,3001,6,31.489703,104.767381,23465
1209,92001,3,31.488651,104.778365,23498
1209,92001,3,31.488651,104.778365,23502
1209,92001,3,31.488651,104.778365,23513
1617,4001,49,31.365844,104.805024,23516
1609,4001,31,31.403032,104.789768,23517
1617,4001,49,31.365844,104.805024,23519
777,3001,19,31.459967,104.716731,23527
846,27001,3,31.526334,104.702472,23533
775,3001,27,31.46518,104.739521,23558
1610,4001,6,31.446001,104.755547,23586
2150,801001,40,31.46791,104.680499,23586
2091,59001,37,31.486654,104.731252,23600
1609,4001,32,31.407697,104.786961,23603
1609,4001,32,31.407697,104.786961,23604
1609,4001,32,31.407697,104.786961,23605
1609,4001,32,31.407697,104.786961,23607
1609,4001,32,31.407697,104.786961,23608
1609,4001,32,31.407697,104.786961,23611
1609,4001,32,31.407697,104.786961,23612
1609,4001,32,31.407697,104.786961,23616
3037,71001,38,31.457904,104.752981,23615
1609,4001,32,31.407697,104.786961,23618
1609,4001,32,31.407697,104.786961,23623
1928,93001,5,31.50483,104.771508,23652
1209,92001,5,31.483404,104.773837,23699
2119,32001,6,31.419719,104.808073,23746
1609,4001,34,31.414353,104.779739,23746
1609,4001,34,31.414353,104.779739,23753
1432,58001,27,31.462232,104.753112,23752
1609,4001,34,31.414353,104.779739,23756
2119,32001,6,31.419719,104.808073,23757
2119,32001,6,31.419719,104.808073,23761
1456,39001,43,31.484418,104.740386,23765
1456,39001,43,31.484418,104.740386,23776
