ROUTEID,SUBROUTEID,SINGLEID,DOUBLEID,STATIONNAME,STATIONID,STATIONTYPE,STATIONLONGITUDE,STATIONLATITUDE
23,23001,1,37,火车货站,11070106,主站上客站,104.730133,31.477171
23,23001,,,,,,104.730016,31.479257
23,23001,,,,,,104.730145,31.481206
23,23001,,,,,,104.731636,31.481032
23,23001,2,2,悦欣园,11070093,中间站,104.731774,31.4808
23,23001,,,,,,104.732028,31.480973
23,23001,,,,,,104.735273,31.480589
23,23001,,,,,,104.735477,31.481508
23,23001,3,3,平政桥,10010071,中间站,104.735415,31.481687
23,23001,,,,,,104.735525,31.481778
23,23001,,,,,,104.735804,31.483068
23,23001,,,,,,104.736217,31.484029
23,23001,,,,,,104.736507,31.484857
23,23001,,,,,,104.736603,31.485753
23,23001,,,,,,104.736620,31.487483
23,23001,4,4,平政村,10010061,中间站,104.736709,31.487606
23,23001,,,,,,104.736598,31.487748
23,23001,,,,,,104.736571,31.490570
23,23001,,,,,,104.736464,31.491462
23,23001,,,,,,104.736158,31.492437
23,23001,,,,,,104.735144,31.494792
23,23001,5,5,高水,10010051,中间站,104.735274,31.495005
23,23001,,,,,,104.735037,31.495076
23,23001,,,,,,104.733406,31.499055
23,23001,6,6,绵州汽配市场,10010041,中间站,104.733478,31.499218
23,23001,,,,,,104.733310,31.499302
23,23001,,,,,,104.732838,31.500492
23,23001,,,,,,104.732489,31.501301
23,23001,,,,,,104.731942,31.502198
23,23001,7,7,高水八队,10010031,中间站,104.731959,31.502353
23,23001,,,,,,104.731818,31.502385
23,23001,,,,,,104.728219,31.506460
23,23001,8,8,圣水七队,10010021,中间站,104.728212,31.506656
23,23001,,,,,,104.728058,31.506666
23,23001,,,,,,104.724110,31.511125
23,23001,9,9,圣水寺,10010011,中间站,104.724088,31.511301
23,23001,,,,,,104.723943,31.511327
23,23001,,,,,,104.719706,31.516197
23,23001,,,,,,104.718863,31.516915
23,23001,,,,,,104.717404,31.517729
23,23001,10,10,横山村一社,20080101,中间站,104.721063,31.525823
23,23001,,,,,,104.720843,31.526075
23,23001,11,11,横山村,20080111,中间站,104.719461,31.528786
23,23001,,,,,,104.717807,31.532110
23,23001,12,12,莲花寺,20080121,中间站,104.717653,31.532251
23,23001,,,,,,104.717640,31.532426
23,23001,,,,,,104.716873,31.533889
23,23001,13,13,招呼站（中石化）,20080131,中间站,104.716721,31.534003
23,23001,,,,,,104.716718,31.534245
23,23001,,,,,,104.716594,31.534822
23,23001,,,,,,104.716669,31.536724
23,23001,,,,,,104.716905,31.539193
23,23001,,,,,,104.717018,31.539791
23,23001,,,,,,104.717849,31.542416
23,23001,14,14,翠屏村,20080141,中间站,104.717859,31.542522
23,23001,,,,,,104.717930,31.542640
23,23001,15,15,招呼站（中石油）,20080151,中间站,104.719114,31.546338
23,23001,,,,,,104.719282,31.546759
23,23001,,,,,,104.719593,31.548066
23,23001,,,,,,104.720054,31.550864
23,23001,16,16,老水井,20080161,中间站,104.720109,31.550978
23,23001,,,,,,104.720081,31.551056
23,23001,,,,,,104.720714,31.555024
23,23001,17,17,石马,20080171,中间站,104.720681,31.555529
23,23001,,,,,,104.720687,31.555623
23,23001,,,,,,104.720709,31.555696
23,23001,,,,,,104.720773,31.555797
23,23001,,,,,,104.722769,31.555746
23,23001,,,,,,104.722892,31.555787
23,23001,,,,,,104.722822,31.556208
23,23001,,,,,,104.722779,31.557346
23,23001,,,,,,104.722093,31.557374
23,23001,18,18,石马市场,20080181,返回站,104.721955,31.557338
23,23001,,,,,,104.721803,31.557374
23,23001,,,,,,104.720601,31.557378
23,23001,,,,,,104.720628,31.555883
23,23001,,,,,,104.720585,31.555874
23,23001,,,,,,104.720537,31.555819
23,23001,,,,,,104.720585,31.555751
23,23001,,,,,,104.720634,31.555751
23,23001,,,,,,104.720634,31.555577
23,23001,19,19,石马,20080172,中间站,104.720572,31.555472
23,23001,,,,,,104.720655,31.555358
23,23001,,,,,,104.720666,31.555001
23,23001,,,,,,104.719968,31.550649
23,23001,20,20,老水井,20080162,中间站,104.719877,31.550548
23,23001,,,,,,104.719931,31.550412
23,23001,,,,,,104.719561,31.548112
23,23001,,,,,,104.719341,31.547152
23,23001,21,21,招呼站（中石油）,20080152,中间站,104.719204,31.547064
23,23001,,,,,,104.719271,31.546946
23,23001,,,,,,104.718949,31.545931
23,23001,22,22,翠屏村,20080142,中间站,104.718845,31.545878
23,23001,,,,,,104.718879,31.545730
23,23001,,,,,,104.717817,31.542539
23,23001,,,,,,104.717817,31.542539
23,23001,,,,,,104.716980,31.539837
23,23001,,,,,,104.716873,31.539321
23,23001,23,23,招呼站（中石化）,20080132,中间站,104.716716,31.539256
23,23001,,,,,,104.716841,31.539115
23,23001,,,,,,104.716728,31.538004
23,23001,,,,,,104.716583,31.536074
23,23001,,,,,,104.716583,31.535791
23,23001,,,,,,104.716562,31.534826
23,23001,,,,,,104.716680,31.534204
23,23001,,,,,,104.717115,31.533336
23,23001,24,24,莲花寺,20080122,中间站,104.717065,31.533165
23,23001,,,,,,104.717613,31.532394
23,23001,,,,,,104.717748,31.532261
23,23001,,,,,,104.717801,31.532023
23,23001,,,,,,104.719008,31.529614
23,23001,25,25,横山村,20080112,中间站,104.718994,31.529522
23,23001,,,,,,104.719099,31.529417
23,23001,,,,,,104.720607,31.526486
23,23001,26,26,横山村一社,20080102,中间站,104.720598,31.526384
23,23001,,,,,,104.720666,31.526317
23,23001,,,,,,104.720768,31.526093
23,23001,,,,,,104.721009,31.525805
23,23001,,,,,,104.717351,31.517697
23,23001,,,,,,104.718778,31.516915
23,23001,,,,,,104.719647,31.516165
23,23001,,,,,,104.720907,31.514706
23,23001,,,,,,104.722409,31.512987
23,23001,,,,,,104.722892,31.512447
23,23001,27,27,圣水寺,10010012,中间站,104.722874,31.512315
23,23001,,,,,,104.723037,31.512296
23,23001,,,,,,104.727806,31.506872
23,23001,28,28,圣水七队,10010022,中间站,104.727772,31.506723
23,23001,,,,,,104.727967,31.506685
23,23001,,,,,,104.730563,31.503725
23,23001,29,29,高水八队,10010032,中间站,104.730537,31.503557
23,23001,,,,,,104.730735,31.503547
23,23001,,,,,,104.731792,31.502358
23,23001,,,,,,104.732409,31.501352
23,23001,,,,,,104.732805,31.500464
23,23001,30,30,绵州汽配市场,10010042,中间站,104.732721,31.500348
23,23001,,,,,,104.732870,31.500286
23,23001,,,,,,104.734517,31.496220
23,23001,31,31,高水,10010052,中间站,104.734434,31.496073
23,23001,,,,,,104.734603,31.496005
23,23001,,,,,,104.736110,31.492455
23,23001,,,,,,104.736443,31.491453
23,23001,,,,,,104.736550,31.490557
23,23001,,,,,,104.736555,31.489381
23,23001,32,32,平政村,10010062,中间站,104.736434,31.489309
23,23001,,,,,,104.736561,31.489198
23,23001,,,,,,104.736598,31.486883
23,23001,,,,,,104.736587,31.485726
23,23001,,,,,,104.736496,31.484857
23,23001,,,,,,104.736035,31.483690
23,23001,33,33,平政桥,10010072,中间站,104.735924,31.483633
23,23001,,,,,,104.735954,31.483498
23,23001,,,,,,104.735783,31.483091
23,23001,,,,,,104.735230,31.480602
23,23001,,,,,,104.735316,31.476627
23,23001,34,34,图书馆,10010082,中间站,104.735255,31.476491
23,23001,,,,,,104.735321,31.476361
23,23001,,,,,,104.735375,31.472934
23,23001,,,,,,104.733433,31.474435
23,23001,35,39,综合市场,11070044,中间站,104.733377,31.47454
23,23001,,,,,,104.733283,31.474559
23,23001,,,,,,104.732634,31.475080
23,23001,,,,,,104.731550,31.476174
23,23001,36,38,火车货站,11070105,主站下客站,104.731521,31.476309
