ROUTEID,SUBROUTEID,SINGLEID,DOUBLEID,STATIONNAME,STATIONID,STATIONTYPE,STATIONLONGITUDE,STATIONLATITUDE
9,9001,1,1,毅德公交站,11211403,主站上客站,104.715161,31.444791
9,9001,,,,,,104.715280,31.444765
9,9001,,,,,,104.716246,31.445191
9,9001,,,,,,104.716294,31.445090
9,9001,,,,,,104.717077,31.443854
9,9001,,,,,,104.717200,31.443699
9,9001,2,2,毅德五金机电城,11211373,中间站,104.717535,31.443716
9,9001,,,,,,104.717426,31.443415
9,9001,,,,,,104.717710,31.443053
9,9001,,,,,,104.718445,31.442449
9,9001,,,,,,104.719362,31.441946
9,9001,,,,,,104.720129,31.441401
9,9001,,,,,,104.721578,31.440651
9,9001,3,3,毅德百货商品城,11211383,中间站,104.721939,31.440648
9,9001,,,,,,104.722071,31.440522
9,9001,,,,,,104.722838,31.440335
9,9001,,,,,,104.725075,31.439996
9,9001,,,,,,104.725220,31.439982
9,9001,,,,,,104.725204,31.443603
9,9001,,,,,,104.725311,31.444303
9,9001,,,,,,104.725687,31.445433
9,9001,,,,,,104.725944,31.446019
9,9001,,,,,,104.726615,31.447209
9,9001,,,,,,104.726915,31.447616
9,9001,4,4,东岳路口,11210214,中间站,104.726891,31.447893
9,9001,,,,,,104.727178,31.447955
9,9001,,,,,,104.731491,31.453721
9,9001,5,5,绵吴路口,11210204,中间站,104.731593,31.453878
9,9001,,,,,,104.731717,31.453982
9,9001,,,,,,104.732237,31.454687
9,9001,,,,,,104.733133,31.454041
9,9001,,,,,,104.733363,31.453877
9,9001,,,,,,104.733476,31.453762
9,9001,6,6,招呼站(御营新城),10030212,中间站,104.733533,31.453655
9,9001,,,,,,104.733739,31.453520
9,9001,,,,,,104.737430,31.450087
9,9001,,,,,,104.738250,31.450518
9,9001,,,,,,104.739431,31.451135
9,9001,7,7,石塘路,11210013,中间站,104.739512,31.451473
9,9001,,,,,,104.739983,31.451438
9,9001,,,,,,104.741281,31.452124
9,9001,,,,,,104.742746,31.452774
9,9001,,,,,,104.743325,31.453511
9,9001,,,,,,104.743904,31.454069
9,9001,,,,,,104.744151,31.454215
9,9001,,,,,,104.744661,31.454380
9,9001,,,,,,104.747933,31.455048
9,9001,,,,,,104.750213,31.454728
9,9001,8,8,南河路中段,11050033,返回站,104.750775,31.4549
9,9001,,,,,,104.751045,31.454577
9,9001,,,,,,104.752547,31.454330
9,9001,,,,,,104.752439,31.453149
9,9001,9,9,南桥眼科分院,11040042,中间站,104.752333,31.452832
9,9001,,,,,,104.752375,31.452586
9,9001,,,,,,104.752214,31.450595
9,9001,,,,,,104.751812,31.447076
9,9001,,,,,,104.751753,31.445987
9,9001,,,,,,104.751763,31.445799
9,9001,10,10,南山加气站,10010161,中间站,104.751771,31.445685
9,9001,,,,,,104.751774,31.445305
9,9001,,,,,,104.752976,31.445525
9,9001,,,,,,104.754505,31.445827
9,9001,,,,,,104.755272,31.445996
9,9001,11,11,南山寺,10010171,中间站,104.755547,31.446001
9,9001,,,,,,104.755744,31.446120
9,9001,,,,,,104.756216,31.446225
9,9001,,,,,,104.756843,31.446321
9,9001,,,,,,104.757637,31.446275
9,9001,,,,,,104.760818,31.445639
9,9001,,,,,,104.762203,31.445323
9,9001,,,,,,104.762921,31.444998
9,9001,12,12,长虹大道南段,10010181,中间站,104.763054,31.444822
9,9001,,,,,,104.763281,31.444719
9,9001,,,,,,104.763501,31.444568
9,9001,,,,,,104.764096,31.443831
9,9001,,,,,,104.764772,31.442838
9,9001,,,,,,104.765502,31.441108
9,9001,,,,,,104.766108,31.439548
9,9001,13,13,红星村四社,40010011,中间站,104.766054,31.439235
9,9001,,,,,,104.766312,31.439035
9,9001,,,,,,104.767374,31.436344
9,9001,,,,,,104.767594,31.435813
9,9001,14,14,红星村八社,40010021,中间站,104.767529,31.435445
9,9001,,,,,,104.767819,31.435305
9,9001,,,,,,104.768967,31.432622
9,9001,15,15,南湖汽车站,40010031,中间站,104.769005,31.432245
9,9001,,,,,,104.769203,31.432055
9,9001,,,,,,104.769820,31.430631
