ROUTEID,SUBROUTEID,SINGLEID,DOUBLEID,STATIONNAME,STATIONID,STATIONTYPE,STATIONLONGITUDE,STATIONLATITUDE
34,34001,1,40,热电厂,11210113,主站上客站,104.738541,31.449136
34,34001,,,,,,104.738449,31.449218
34,34001,,,,,,104.737269,31.450312
34,34001,2,34,绵绢路口,11210044,中间站,104.737223,31.450401
34,34001,,,,,,104.737102,31.450476
34,34001,,,,,,104.733927,31.453419
34,34001,,,,,,104.733261,31.454028
34,34001,,,,,,104.733095,31.454165
34,34001,,,,,,104.732215,31.454824
34,34001,3,7,绵吴路口,11210203,中间站,104.732101,31.454723
34,34001,,,,,,104.732028,31.454623
34,34001,,,,,,104.732028,31.454623
34,34001,,,,,,104.728256,31.449666
34,34001,4,8,东岳路口,11210213,中间站,104.728081,31.449666
34,34001,,,,,,104.728160,31.449529
34,34001,,,,,,104.726824,31.447772
34,34001,,,,,,104.726486,31.447328
34,34001,,,,,,104.725783,31.446097
34,34001,,,,,,104.725590,31.445690
34,34001,,,,,,104.725247,31.444605
34,34001,,,,,,104.725140,31.444317
34,34001,,,,,,104.725043,31.443639
34,34001,,,,,,104.725043,31.441767
34,34001,6,9,毅德商贸城,11210223,中间站,104.724971,31.44166
34,34001,,,,,,104.725043,31.441552
34,34001,,,,,,104.725070,31.440005
34,34001,,,,,,104.725113,31.437401
34,34001,7,10,天泰食品城,11210233,中间站,104.725011,31.437298
34,34001,,,,,,104.725118,31.437158
34,34001,,,,,,104.725193,31.433625
34,34001,,,,,,104.725049,31.430805
34,34001,,,,,,104.724684,31.428778
34,34001,,,,,,104.724539,31.428269
34,34001,8,11,赵家沟,11210243,中间站,104.724458,31.428188
34,34001,,,,,,104.724491,31.428082
34,34001,,,,,,104.723724,31.425322
34,34001,,,,,,104.723160,31.423294
34,34001,9,12,雷达站,11210253,中间站,104.723059,31.423219
34,34001,,,,,,104.723117,31.423111
34,34001,,,,,,104.722490,31.420863
34,34001,,,,,,104.721406,31.415992
34,34001,,,,,,104.720993,31.414152
34,34001,,,,,,104.720317,31.410498
34,34001,,,,,,104.718772,31.410517
34,34001,,,,,,104.717721,31.410810
34,34001,,,,,,104.715956,31.410022
34,34001,,,,,,104.714159,31.409958
34,34001,,,,,,104.712083,31.409308
34,34001,,,,,,104.709283,31.410086
34,34001,10,15,楼房村四社,11210903,中间站,104.709204,31.410206
34,34001,,,,,,104.709025,31.410150
34,34001,,,,,,104.705919,31.410979
34,34001,11,16,楼房村三社,11210913,中间站,104.705833,31.411089
34,34001,,,,,,104.705656,31.411052
34,34001,,,,,,104.704256,31.411437
34,34001,,,,,,104.703950,31.413039
34,34001,,,,,,104.702041,31.415173
34,34001,,,,,,104.701311,31.415580
34,34001,12,17,楼房村一社,11210923,中间站,104.701281,31.415671
34,34001,,,,,,104.701129,31.415690
34,34001,,,,,,104.699058,31.416853
34,34001,,,,,,104.698581,31.421119
34,34001,,,,,,104.697905,31.421769
34,34001,,,,,,104.697239,31.421650
34,34001,,,,,,104.696692,31.421609
34,34001,,,,,,104.696322,31.421884
34,34001,,,,,,104.696209,31.422030
34,34001,13,18,蟠龙村九社,11210933,中间站,104.696211,31.422098
34,34001,,,,,,104.696140,31.422195
34,34001,,,,,,104.696113,31.422497
34,34001,,,,,,104.696054,31.423216
34,34001,,,,,,104.696097,31.423664
34,34001,,,,,,104.696242,31.423765
34,34001,,,,,,104.696574,31.423907
34,34001,,,,,,104.697272,31.424081
34,34001,,,,,,104.697856,31.424855
34,34001,,,,,,104.698318,31.425857
34,34001,,,,,,104.699208,31.426123
34,34001,,,,,,104.699605,31.426457
34,34001,,,,,,104.699857,31.426873
34,34001,,,,,,104.700013,31.427061
34,34001,14,19,蟠龙村八社,11210943,中间站,104.700103,31.427106
34,34001,,,,,,104.700163,31.427221
34,34001,,,,,,104.700313,31.427569
34,34001,,,,,,104.700608,31.428942
34,34001,,,,,,104.700785,31.429354
34,34001,,,,,,104.701005,31.429647
34,34001,,,,,,104.701295,31.430114
34,34001,,,,,,104.701665,31.430407
34,34001,,,,,,104.701949,31.430435
34,34001,,,,,,104.702706,31.430503
34,34001,,,,,,104.703044,31.430686
34,34001,,,,,,104.703478,31.431062
34,34001,,,,,,104.703467,31.431455
34,34001,,,,,,104.703333,31.431908
34,34001,,,,,,104.702877,31.432243
34,34001,,,,,,104.702539,31.432751
34,34001,,,,,,104.702529,31.433387
34,34001,,,,,,104.702395,31.434119
34,34001,,,,,,104.702362,31.434398
34,34001,,,,,,104.702448,31.434508
34,34001,15,44,潘龙村,11210954,返回站,104.702478,31.434566
34,34001,,,,,,104.702352,31.434540
34,34001,,,,,,104.702309,31.434403
34,34001,,,,,,104.702336,31.434124
34,34001,,,,,,104.702470,31.433387
34,34001,,,,,,104.702497,31.432741
34,34001,,,,,,104.702840,31.432215
34,34001,,,,,,104.703285,31.431872
34,34001,,,,,,104.703414,31.431446
34,34001,,,,,,104.703430,31.431075
34,34001,,,,,,104.703022,31.430728
34,34001,,,,,,104.702679,31.430544
34,34001,,,,,,104.701670,31.430467
34,34001,,,,,,104.701241,31.430155
34,34001,,,,,,104.700957,31.429666
34,34001,,,,,,104.700732,31.429368
34,34001,,,,,,104.700571,31.428956
34,34001,,,,,,104.700243,31.427569
34,34001,16,21,蟠龙村八社,11210944,中间站,104.700141,31.427421
34,34001,,,,,,104.700115,31.427299
34,34001,,,,,,104.699959,31.427098
34,34001,,,,,,104.699809,31.426905
34,34001,,,,,,104.699557,31.426498
34,34001,,,,,,104.699181,31.426168
34,34001,,,,,,104.698302,31.425898
34,34001,,,,,,104.697824,31.424887
34,34001,,,,,,104.697245,31.424118
34,34001,,,,,,104.696558,31.423957
34,34001,,,,,,104.696236,31.423802
34,34001,,,,,,104.696075,31.423701
34,34001,,,,,,104.695989,31.423207
34,34001,,,,,,104.696043,31.422534
34,34001,17,22,蟠龙村九社,11210934,中间站,104.696044,31.422453
34,34001,,,,,,104.696059,31.422364
34,34001,,,,,,104.696097,31.422181
34,34001,,,,,,104.696124,31.422016
34,34001,,,,,,104.696268,31.421865
34,34001,,,,,,104.696687,31.421550
34,34001,,,,,,104.697229,31.421595
34,34001,,,,,,104.697872,31.421687
34,34001,,,,,,104.698511,31.421101
34,34001,,,,,,104.698977,31.416811
34,34001,,,,,,104.700839,31.415768
34,34001,18,23,楼房村一社,11210924,中间站,104.701011,31.415806
34,34001,,,,,,104.701054,31.415644
34,34001,,,,,,104.701998,31.415122
34,34001,,,,,,104.703875,31.413007
34,34001,,,,,,104.704176,31.411386
34,34001,,,,,,104.705426,31.411048
34,34001,19,24,楼房村三社,11210914,中间站,104.705583,31.411138
34,34001,,,,,,104.705640,31.410984
34,34001,,,,,,104.708564,31.410205
34,34001,20,25,楼房村四社,11210904,中间站,104.708728,31.410291
34,34001,,,,,,104.708821,31.410132
34,34001,,,,,,104.712061,31.409239
34,34001,,,,,,104.714164,31.409885
34,34001,,,,,,104.715972,31.409953
34,34001,,,,,,104.717726,31.410732
34,34001,,,,,,104.718724,31.410448
34,34001,,,,,,104.720489,31.410397
34,34001,,,,,,104.721111,31.413808
34,34001,,,,,,104.721186,31.414248
34,34001,,,,,,104.721524,31.415740
34,34001,21,27,垃圾场,11210264,中间站,104.721371,31.415898
34,34001,,,,,,104.721572,31.415974
34,34001,,,,,,104.722667,31.420826
34,34001,,,,,,104.723026,31.422172
34,34001,22,28,雷达站,11210254,中间站,104.723026,31.422265
34,34001,,,,,,104.723101,31.422415
34,34001,,,,,,104.724255,31.426562
34,34001,23,29,赵家沟,11210244,中间站,104.724268,31.426649
34,34001,,,,,,104.724308,31.426759
34,34001,,,,,,104.724861,31.428713
34,34001,,,,,,104.724888,31.428984
34,34001,,,,,,104.725242,31.430778
