ROUTEID,SUBROUTEID,SINGLEID,DOUBLEID,STATIONNAME,STATIONID,STATIONTYPE,STATIONLONGITUDE,STATIONLATITUDE
37,37001,1,1,虹色景苑,11130074,主站上客站,104.714874,31.494373
37,37001,,,,,,104.714749,31.494362
37,37001,,,,,,104.714556,31.494353
37,37001,,,,,,104.714271,31.494253
37,37001,,,,,,104.711836,31.493699
37,37001,,,,,,104.710640,31.493887
37,37001,,,,,,104.709851,31.494047
37,37001,2,2,科技路,11130084,中间站,104.709762,31.494096
37,37001,,,,,,104.709637,31.494088
37,37001,,,,,,104.705817,31.494902
37,37001,,,,,,104.703344,31.495680
37,37001,,,,,,104.703264,31.495543
37,37001,3,3,创业南路,11130031,中间站,104.703196,31.495468
37,37001,,,,,,104.703194,31.495360
37,37001,,,,,,104.702775,31.494376
37,37001,,,,,,104.701703,31.494609
37,37001,4,44,科创园,10040033,中间站,104.701649,31.494721
37,37001,,,,,,104.701504,31.494660
37,37001,,,,,,104.700850,31.494783
37,37001,,,,,,104.698886,31.495067
37,37001,,,,,,104.692073,31.495909
37,37001,5,5,南山双语,10040044,中间站,104.691971,31.496055
37,37001,,,,,,104.691832,31.495936
37,37001,,,,,,104.688694,31.496306
37,37001,,,,,,104.688570,31.496078
37,37001,,,,,,104.688469,31.495909
37,37001,6,6,天府学院,11120012,中间站,104.688262,31.495884
37,37001,,,,,,104.688372,31.495735
37,37001,,,,,,104.686972,31.492912
37,37001,,,,,,104.685373,31.489793
37,37001,,,,,,104.686800,31.489139
37,37001,7,7,创业大道中段,11120133,中间站,104.686841,31.488903
37,37001,,,,,,104.687068,31.489020
37,37001,,,,,,104.691263,31.487094
37,37001,,,,,,104.690566,31.485996
37,37001,8,8,园兴东街,11120062,中间站,104.690663,31.485768
37,37001,,,,,,104.690394,31.485744
37,37001,,,,,,104.688844,31.483352
37,37001,,,,,,104.686655,31.484884
37,37001,,,,,,104.685159,31.482670
37,37001,9,9,招呼站,11120052,中间站,104.684995,31.482582
37,37001,,,,,,104.685014,31.482428
37,37001,,,,,,104.684740,31.482025
37,37001,,,,,,104.683442,31.483027
37,37001,10,10,八角村三社,11120173,中间站,104.683406,31.483103
37,37001,,,,,,104.683265,31.483178
37,37001,,,,,,104.682369,31.483924
37,37001,,,,,,104.680856,31.485488
37,37001,11,11,柏杨街,11120163,中间站,104.680797,31.485561
37,37001,,,,,,104.680706,31.485667
37,37001,,,,,,104.679907,31.486508
37,37001,,,,,,104.681012,31.488333
37,37001,,,,,,104.679253,31.489623
37,37001,12,12,八角北路,11120154,中间站,104.679171,31.489697
37,37001,,,,,,104.679059,31.489756
37,37001,,,,,,104.677906,31.490589
37,37001,,,,,,104.677729,31.490730
37,37001,,,,,,104.675610,31.488823
37,37001,,,,,,104.674484,31.487711
37,37001,,,,,,104.673829,31.487181
37,37001,,,,,,104.669403,31.484207
37,37001,,,,,,104.667950,31.483571
37,37001,,,,,,104.666410,31.483233
37,37001,,,,,,104.659554,31.482807
37,37001,,,,,,104.657296,31.482464
37,37001,,,,,,104.656245,31.482085
37,37001,,,,,,104.655150,31.481211
37,37001,,,,,,104.654040,31.479518
37,37001,,,,,,104.652870,31.474938
37,37001,,,,,,104.652683,31.473410
37,37001,,,,,,104.653149,31.473548
37,37001,13,62,方向机厂,30530153,中间站,104.653213,31.473699
37,37001,,,,,,104.653364,31.473612
37,37001,,,,,,104.654930,31.474184
37,37001,,,,,,104.656540,31.474641
37,37001,14,63,黄家祠,30530173,中间站,104.656625,31.474736
37,37001,,,,,,104.656786,31.474700
37,37001,,,,,,104.658508,31.475199
37,37001,15,64,何家祠,30530143,中间站,104.658606,31.475317
37,37001,,,,,,104.658793,31.475272
37,37001,,,,,,104.663942,31.476732
37,37001,16,65,普明北街,30530083,中间站,104.664062,31.47679
37,37001,,,,,,104.664200,31.476800
37,37001,,,,,,104.665332,31.477125
37,37001,,,,,,104.666292,31.477057
37,37001,17,70,普明北街西段（招呼站）,90530073,中间站,104.666381,31.477035
37,37001,,,,,,104.666496,31.477034
37,37001,,,,,,104.670782,31.476718
37,37001,18,15,万兴街口,30530063,中间站,104.670884,31.476734
37,37001,,,,,,104.671023,31.476700
37,37001,,,,,,104.675074,31.476389
37,37001,,,,,,104.677235,31.476430
37,37001,19,16,外国语学校,30530053,中间站,104.677309,31.47639
37,37001,,,,,,104.677429,31.476434
37,37001,,,,,,104.680379,31.476485
37,37001,,,,,,104.681200,31.476329
37,37001,,,,,,104.681919,31.476018
37,37001,,,,,,104.682541,31.475611
37,37001,,,,,,104.681726,31.474806
37,37001,20,60,富强口腔门诊部,30530222,中间站,104.681632,31.474751
37,37001,,,,,,104.681575,31.474650
37,37001,,,,,,104.680974,31.473914
37,37001,,,,,,104.680948,31.473868
37,37001,,,,,,104.680851,31.473474
37,37001,,,,,,104.680352,31.471576
37,37001,,,,,,104.679837,31.469846
37,37001,21,18,交警四大队,30530162,中间站,104.679624,31.469774
37,37001,,,,,,104.679767,31.469663
37,37001,,,,,,104.679242,31.468085
37,37001,,,,,,104.680384,31.467947
37,37001,22,19,阳光西雅图,30010043,中间站,104.680499,31.46791
37,37001,,,,,,104.680679,31.467915
37,37001,,,,,,104.683319,31.467645
37,37001,,,,,,104.686639,31.467160
37,37001,,,,,,104.687331,31.467009
37,37001,23,20,三五三六厂,30010033,中间站,104.687425,31.466889
37,37001,,,,,,104.687535,31.466964
37,37001,,,,,,104.690169,31.466410
37,37001,24,21,海棠花园,30010023,中间站,104.690273,31.466381
37,37001,,,,,,104.690394,31.466360
37,37001,,,,,,104.691446,31.466131
37,37001,,,,,,104.693978,31.465618
37,37001,25,22,万向装饰建材城,30010013,中间站,104.694092,31.465478
37,37001,,,,,,104.694241,31.465568
37,37001,,,,,,104.694960,31.465422
37,37001,,,,,,104.696177,31.465060
37,37001,,,,,,104.697899,31.464163
37,37001,,,,,,104.698371,31.463838
37,37001,,,,,,104.698876,31.463253
37,37001,,,,,,104.700211,31.461907
37,37001,,,,,,104.700587,31.461441
37,37001,,,,,,104.701316,31.460832
37,37001,,,,,,104.702153,31.460329
37,37001,,,,,,104.702856,31.459944
37,37001,,,,,,104.704074,31.459377
37,37001,,,,,,104.705334,31.458919
37,37001,,,,,,104.707024,31.458439
37,37001,,,,,,104.708993,31.458727
37,37001,26,23,花园市场,10020013,中间站,104.709111,31.458769
37,37001,,,,,,104.709256,31.458773
37,37001,,,,,,104.711847,31.459130
37,37001,,,,,,104.711884,31.458553
37,37001,27,58,火车客站西,90020023,返回站,104.711791,31.458446
37,37001,,,,,,104.711895,31.458357
37,37001,,,,,,104.712045,31.456160
37,37001,,,,,,104.709508,31.455767
37,37001,,,,,,104.709529,31.455922
37,37001,,,,,,104.709851,31.458897
37,37001,,,,,,104.709819,31.459002
37,37001,,,,,,104.708253,31.458768
37,37001,28,25,花园市场,10020014,中间站,104.708059,31.458894
37,37001,,,,,,104.707958,31.458714
37,37001,,,,,,104.707046,31.458572
37,37001,,,,,,104.705393,31.459038
37,37001,,,,,,104.704159,31.459514
37,37001,,,,,,104.702953,31.460022
37,37001,,,,,,104.702110,31.460466
37,37001,,,,,,104.701391,31.460896
37,37001,,,,,,104.700694,31.461491
37,37001,,,,,,104.700313,31.461967
37,37001,,,,,,104.698972,31.463312
37,37001,,,,,,104.698468,31.463893
37,37001,,,,,,104.697985,31.464232
37,37001,,,,,,104.696419,31.465138
37,37001,,,,,,104.694997,31.465559
37,37001,,,,,,104.693795,31.465797
37,37001,29,26,万向装饰建材城,30010014,中间站,104.693727,31.465928
37,37001,,,,,,104.693559,31.465833
37,37001,,,,,,104.691553,31.466250
37,37001,30,27,海棠花园,30010024,中间站,104.691481,31.466325
37,37001,,,,,,104.691381,31.466291
37,37001,,,,,,104.687047,31.467206
37,37001,31,28,三五三六厂,30010034,中间站,104.686979,31.467298
37,37001,,,,,,104.686843,31.467247
37,37001,,,,,,104.686661,31.467284
37,37001,,,,,,104.683356,31.467755
37,37001,,,,,,104.681618,31.467943
37,37001,32,29,阳光西雅图,30010044,中间站,104.681498,31.46813
37,37001,,,,,,104.681350,31.467970
37,37001,,,,,,104.679328,31.468194
37,37001,,,,,,104.679537,31.468812
37,37001,33,30,交警四大队,30530161,中间站,104.679553,31.468934
37,37001,,,,,,104.679607,31.469055
37,37001,,,,,,104.679886,31.469842
37,37001,,,,,,104.680400,31.471566
