ROUTEID,SUBROUTEID,SINGLEID,DOUBLEID,STATIONNAME,STATIONID,STATIONTYPE,STATIONLONGITUDE,STATIONLATITUDE
4,4001,1,25,丰谷,40010192,主站上客站,104.821301,31.350243
4,4001,,,,,,104.821469,31.350366
4,4001,,,,,,104.822879,31.350682
4,4001,,,,,,104.822804,31.351273
4,4001,2,52,胜利路,40010892,中间站,104.822876,31.351405
4,4001,,,,,,104.822783,31.351598
4,4001,,,,,,104.823180,31.354329
4,4001,,,,,,104.823164,31.355836
4,4001,,,,,,104.823110,31.356115
4,4001,,,,,,104.822933,31.356436
4,4001,,,,,,104.821351,31.358021
4,4001,,,,,,104.820723,31.358328
4,4001,,,,,,104.820396,31.358342
4,4001,,,,,,104.819731,31.358250
4,4001,,,,,,104.818931,31.359120
4,4001,,,,,,104.817215,31.360247
4,4001,,,,,,104.816920,31.360444
4,4001,3,26,皂角树,40010202,中间站,104.816736,31.360586
4,4001,,,,,,104.816549,31.360641
4,4001,,,,,,104.812832,31.362822
4,4001,,,,,,104.805145,31.365790
4,4001,4,49,招呼站（大佛寺）,40010212,中间站,104.805024,31.365844
4,4001,,,,,,104.804866,31.365890
4,4001,,,,,,104.803943,31.366257
4,4001,,,,,,104.802387,31.367617
4,4001,,,,,,104.801137,31.369898
4,4001,5,27,利尔化工厂,40010172,中间站,104.801121,31.370051
4,4001,,,,,,104.801014,31.370146
4,4001,,,,,,104.800794,31.370833
4,4001,,,,,,104.799501,31.375953
4,4001,,,,,,104.799346,31.376581
4,4001,6,28,木龙河,40010162,中间站,104.799411,31.376856
4,4001,,,,,,104.799238,31.377103
4,4001,,,,,,104.799201,31.378083
4,4001,,,,,,104.799303,31.379704
4,4001,,,,,,104.799330,31.380556
4,4001,,,,,,104.799308,31.380964
4,4001,,,,,,104.799217,31.381802
4,4001,,,,,,104.798943,31.382997
4,4001,,,,,,104.798675,31.383780
4,4001,,,,,,104.798380,31.384481
4,4001,7,29,接龙寺,40010152,中间站,104.798191,31.384928
4,4001,,,,,,104.798107,31.385108
4,4001,,,,,,104.797731,31.386074
4,4001,,,,,,104.795870,31.390347
4,4001,8,30,五大队,40010142,中间站,104.795795,31.390553
4,4001,,,,,,104.795698,31.390722
4,4001,,,,,,104.793863,31.394922
4,4001,,,,,,104.793659,31.395682
4,4001,,,,,,104.793509,31.396863
4,4001,,,,,,104.793450,31.397939
4,4001,9,47,塘汛,40010132,中间站,104.793429,31.398085
4,4001,,,,,,104.793338,31.398191
4,4001,,,,,,104.793037,31.399084
4,4001,,,,,,104.792399,31.399890
4,4001,,,,,,104.790484,31.401694
4,4001,,,,,,104.790409,31.401799
4,4001,,,,,,104.789813,31.402806
4,4001,10,31,卓信金楠天街,40010122,中间站,104.789768,31.403032
4,4001,,,,,,104.789582,31.403209
4,4001,,,,,,104.787254,31.407220
4,4001,,,,,,104.786981,31.407509
4,4001,11,32,涪沿村,40010112,中间站,104.786961,31.407697
4,4001,,,,,,104.786686,31.407834
4,4001,,,,,,104.783596,31.410626
4,4001,12,33,石桌子,40010102,中间站,104.783525,31.410887
4,4001,,,,,,104.783263,31.410938
4,4001,,,,,,104.779878,31.414074
4,4001,13,34,加油站,40010092,中间站,104.779739,31.414353
4,4001,,,,,,104.779481,31.414445
4,4001,,,,,,104.776300,31.417512
4,4001,14,35,群文村,40010082,中间站,104.776215,31.417775
4,4001,,,,,,104.775903,31.417887
4,4001,,,,,,104.774750,31.418995
4,4001,,,,,,104.773988,31.419865
4,4001,,,,,,104.773623,31.420684
4,4001,,,,,,104.773479,31.421165
4,4001,15,36,同立汽车城,40010072,中间站,104.773568,31.421447
4,4001,,,,,,104.773334,31.421614
4,4001,,,,,,104.772255,31.425070
4,4001,,,,,,104.772073,31.425523
4,4001,16,37,机场路口,40010062,中间站,104.772139,31.425837
4,4001,,,,,,104.771858,31.425990
4,4001,,,,,,104.770120,31.430050
4,4001,17,38,南湖汽车站,40010032,中间站,104.770151,31.430336
4,4001,,,,,,104.769906,31.430517
4,4001,,,,,,104.768608,31.433524
4,4001,18,39,红星村八社,40010022,中间站,104.768585,31.43373
4,4001,,,,,,104.768447,31.433918
4,4001,,,,,,104.767422,31.436284
4,4001,,,,,,104.766880,31.437671
4,4001,19,40,红星村四社,40010012,中间站,104.766855,31.437865
4,4001,,,,,,104.766735,31.438078
4,4001,,,,,,104.765566,31.441122
4,4001,,,,,,104.764820,31.442825
4,4001,,,,,,104.764144,31.443836
4,4001,,,,,,104.763764,31.444289
4,4001,20,41,长虹大道南段,10010182,中间站,104.763694,31.444503
4,4001,,,,,,104.763544,31.444568
4,4001,,,,,,104.762932,31.445035
4,4001,,,,,,104.762208,31.445342
4,4001,,,,,,104.757637,31.446307
4,4001,,,,,,104.756806,31.446344
4,4001,,,,,,104.756591,31.446312
4,4001,21,42,南山寺,10010172,中间站,104.756429,31.446351
