ROUTEID,SUBROUTEID,SINGLEID,DOUBLEID,STATIONNAME,STATIONID,STATIONTYPE,STATIONLONGITUDE,STATIONLATITUDE
436,43601,1,1,圣水寺,10010012,主站上客站,104.722874,31.512315
436,43601,,,,,,104.723037,31.512292
436,43601,,,,,,104.725016,31.510060
436,43601,,,,,,104.725896,31.509040
436,43601,,,,,,104.727758,31.506931
436,43601,2,2,圣水七队,10010022,中间站,104.727772,31.506723
436,43601,,,,,,104.727951,31.506703
436,43601,,,,,,104.730740,31.503542
436,43601,,,,,,104.733160,31.505029
436,43601,,,,,,104.733691,31.504517
436,43601,,,,,,104.734291,31.503817
436,43601,3,4,圣水二社,11060092,中间站,104.734271,31.503623
436,43601,,,,,,104.734474,31.503593
436,43601,,,,,,104.734973,31.502971
436,43601,,,,,,104.735348,31.502321
436,43601,,,,,,104.735751,31.501361
436,43601,,,,,,104.735992,31.500794
436,43601,4,5,翠满庭,11060082,中间站,104.735919,31.500697
436,43601,,,,,,104.736067,31.500629
436,43601,,,,,,104.737821,31.496517
436,43601,5,6,高水,11060072,中间站,104.737981,31.496485
436,43601,,,,,,104.737934,31.496270
436,43601,,,,,,104.738878,31.494134
436,43601,6,7,长虹世纪城,11060062,中间站,104.738781,31.49403
436,43601,,,,,,104.738964,31.493937
436,43601,,,,,,104.739769,31.492007
436,43601,,,,,,104.740031,31.489742
436,43601,7,8,涪江二桥,11060052,中间站,104.739954,31.489647
436,43601,,,,,,104.740047,31.489578
436,43601,,,,,,104.740251,31.487441
436,43601,,,,,,104.740402,31.485863
436,43601,,,,,,104.740487,31.484871
436,43601,,,,,,104.740418,31.484532
436,43601,8,9,五一名都,11060042,中间站,104.740386,31.484418
436,43601,,,,,,104.740294,31.484198
436,43601,,,,,,104.738524,31.481380
436,43601,,,,,,104.738417,31.480923
436,43601,,,,,,104.738374,31.480227
436,43601,9,10,四0四医院,11060032,中间站,104.738333,31.480058
436,43601,,,,,,104.738363,31.479806
436,43601,,,,,,104.738352,31.475579
436,43601,10,11,九洲1958跃进路,11060022,中间站,104.738281,31.475376
436,43601,,,,,,104.738342,31.475185
436,43601,,,,,,104.738320,31.470830
436,43601,11,12,长虹国际城,11060012,中间站,104.738322,31.470635
436,43601,,,,,,104.738309,31.470427
436,43601,,,,,,104.738309,31.469594
436,43601,,,,,,104.742097,31.469549
436,43601,,,,,,104.743749,31.469585
436,43601,12,33,东方红大桥,11000011,中间站,104.744001,31.469881
436,43601,,,,,,104.744189,31.469594
