ROUTEID,SUBROUTEID,SINGLEID,DOUBLEID,STATIONNAME,STATIONID,STATIONTYPE,STATIONLONGITUDE,STATIONLATITUDE
74,74001,1,50,永兴,30520033,主站上客站,104.632536,31.461323
74,74001,,,,,,104.632534,31.461235
74,74001,,,,,,104.632469,31.461166
74,74001,,,,,,104.632314,31.461038
74,74001,,,,,,104.631836,31.460818
74,74001,,,,,,104.631536,31.460613
74,74001,,,,,,104.631498,31.460521
74,74001,,,,,,104.631885,31.459427
74,74001,,,,,,104.632233,31.458572
74,74001,,,,,,104.631826,31.458393
74,74001,2,44,永昌路,30050113,中间站,104.631709,31.458415
74,74001,,,,,,104.631659,31.458315
74,74001,,,,,,104.627958,31.456654
74,74001,,,,,,104.628360,31.456055
74,74001,,,,,,104.628832,31.455661
74,74001,,,,,,104.629755,31.455126
74,74001,,,,,,104.630243,31.455007
74,74001,,,,,,104.630442,31.454897
74,74001,,,,,,104.632126,31.454938
74,74001,3,6,丰谷酒业,30050103,中间站,104.632228,31.454946
74,74001,,,,,,104.632367,31.454934
74,74001,,,,,,104.632679,31.454938
74,74001,,,,,,104.636364,31.454828
74,74001,,,,,,104.639030,31.454755
74,74001,,,,,,104.639668,31.454732
74,74001,4,40,新皂路口,30050093,中间站,104.639796,31.454711
74,74001,,,,,,104.639915,31.454723
74,74001,,,,,,104.645038,31.454563
74,74001,,,,,,104.645602,31.454549
74,74001,5,33,金祥南路路口,30050073,中间站,104.645721,31.45452
74,74001,,,,,,104.645859,31.454536
74,74001,,,,,,104.650553,31.454398
74,74001,6,29,铁骑力士集团,30050063,中间站,104.650693,31.454361
74,74001,,,,,,104.650843,31.454389
74,74001,,,,,,104.656459,31.454234
74,74001,,,,,,104.656754,31.454197
74,74001,,,,,,104.661577,31.454069
74,74001,,,,,,104.662537,31.453813
74,74001,7,18,闽兴钢材市场,30050053,中间站,104.662663,31.453794
74,74001,,,,,,104.662762,31.453735
74,74001,,,,,,104.663497,31.453465
74,74001,,,,,,104.667000,31.451625
74,74001,,,,,,104.667912,31.451268
74,74001,,,,,,104.668883,31.451081
74,74001,,,,,,104.670251,31.451081
74,74001,,,,,,104.673132,31.451328
74,74001,,,,,,104.674451,31.451300
74,74001,8,4,飞云大道东段,30050043,中间站,104.674577,31.451265
74,74001,,,,,,104.674714,31.451300
74,74001,,,,,,104.677831,31.451241
74,74001,,,,,,104.680991,31.451186
74,74001,,,,,,104.681007,31.450545
74,74001,9,23,石桥铺八社,30510072,中间站,104.681055,31.450428
74,74001,,,,,,104.681012,31.450316
74,74001,,,,,,104.681055,31.448097
74,74001,,,,,,104.681425,31.447145
74,74001,,,,,,104.682353,31.446266
74,74001,10,15,居民点西门,30510063,中间站,104.682382,31.446185
74,74001,,,,,,104.682466,31.446124
74,74001,,,,,,104.682825,31.445657
74,74001,,,,,,104.682841,31.445278
74,74001,,,,,,104.683571,31.445259
74,74001,,,,,,104.683973,31.445154
74,74001,,,,,,104.684279,31.444930
74,74001,,,,,,104.684536,31.444701
74,74001,,,,,,104.684939,31.444527
74,74001,,,,,,104.685084,31.444518
74,74001,11,37,招呼站(石桥铺),30510053,中间站,104.685176,31.444501
74,74001,,,,,,104.685277,31.444490
74,74001,,,,,,104.685459,31.444408
74,74001,,,,,,104.685776,31.444266
74,74001,,,,,,104.686108,31.444225
74,74001,,,,,,104.686709,31.444335
74,74001,,,,,,104.687036,31.444358
74,74001,,,,,,104.687589,31.444403
74,74001,,,,,,104.688447,31.444495
74,74001,12,11,高新区实验中学,30510043,中间站,104.688566,31.444503
74,74001,,,,,,104.688694,31.444536
74,74001,,,,,,104.690335,31.444651
74,74001,,,,,,104.690770,31.444747
74,74001,,,,,,104.691945,31.444925
74,74001,13,13,居民点东门,30510033,中间站,104.692077,31.444937
74,74001,,,,,,104.692208,31.444980
74,74001,,,,,,104.693141,31.445140
74,74001,,,,,,104.692122,31.448815
74,74001,,,,,,104.691929,31.449447
74,74001,,,,,,104.691864,31.449657
74,74001,14,91,石桥铺东路,30510201,中间站,104.691883,31.449768
74,74001,,,,,,104.691811,31.449827
74,74001,,,,,,104.691070,31.452234
74,74001,,,,,,104.692503,31.452572
74,74001,15,21,十字路口,30510023,中间站,104.692559,31.452628
74,74001,,,,,,104.692680,31.452614
74,74001,,,,,,104.694235,31.452971
74,74001,,,,,,104.697277,31.453625
74,74001,,,,,,104.698184,31.453849
74,74001,16,25,石桥铺村,30510013,中间站,104.698264,31.453896
74,74001,,,,,,104.698409,31.453890
74,74001,,,,,,104.699315,31.454069
74,74001,,,,,,104.700807,31.454137
74,74001,,,,,,104.702872,31.454444
74,74001,,,,,,104.705248,31.454856
74,74001,,,,,,104.709492,31.455661
74,74001,,,,,,104.709545,31.455689
74,74001,,,,,,104.710227,31.455803
74,74001,17,80,东辰小学,11100053,中间站,104.710291,31.455791
74,74001,,,,,,104.710361,31.455826
74,74001,,,,,,104.712093,31.456142
74,74001,,,,,,104.711884,31.459135
74,74001,,,,,,104.712764,31.459263
74,74001,18,85,火车客站,10020023,中间站,104.712854,31.459278
74,74001,,,,,,104.712973,31.459295
74,74001,,,,,,104.713596,31.459377
74,74001,,,,,,104.714690,31.459533
74,74001,,,,,,104.715258,31.459661
74,74001,,,,,,104.715307,31.459405
74,74001,,,,,,104.715570,31.458370
74,74001,,,,,,104.715854,31.457295
74,74001,19,86,花园南街口,11100011,中间站,104.715941,31.457273
74,74001,,,,,,104.715891,31.457162
74,74001,,,,,,104.715967,31.456897
74,74001,,,,,,104.716423,31.455053
74,74001,,,,,,104.717479,31.453602
74,74001,,,,,,104.718879,31.451621
74,74001,,,,,,104.719432,31.451772
74,74001,,,,,,104.720151,31.452106
74,74001,,,,,,104.720934,31.452682
74,74001,,,,,,104.722382,31.454032
74,74001,,,,,,104.723686,31.455117
74,74001,,,,,,104.724147,31.455552
74,74001,,,,,,104.724571,31.455977
74,74001,20,2,洞天公园,30050013,中间站,104.724635,31.456049
74,74001,,,,,,104.724716,31.456119
74,74001,,,,,,104.724786,31.456201
74,74001,,,,,,104.725134,31.456412
74,74001,,,,,,104.725505,31.456554
74,74001,,,,,,104.725960,31.456535
74,74001,,,,,,104.726497,31.456416
74,74001,,,,,,104.727945,31.456009
74,74001,,,,,,104.728804,31.455854
74,74001,,,,,,104.729367,31.455854
74,74001,,,,,,104.729968,31.455794
74,74001,21,76,公汽司加气站,30050123,中间站,104.730071,31.455759
74,74001,,,,,,104.730204,31.455725
74,74001,,,,,,104.731277,31.455336
74,74001,,,,,,104.731958,31.454842
74,74001,,,,,,104.732097,31.454769
74,74001,,,,,,104.733015,31.454092
74,74001,,,,,,104.733176,31.454032
74,74001,,,,,,104.734624,31.452687
74,74001,,,,,,104.736169,31.451286
74,74001,,,,,,104.737489,31.450037
74,74001,,,,,,104.738224,31.450504
74,74001,,,,,,104.739527,31.451186
74,74001,22,26,石塘路,11210013,中间站,104.739512,31.451473
74,74001,,,,,,104.739779,31.451323
74,74001,,,,,,104.741254,31.452101
74,74001,,,,,,104.742697,31.452751
74,74001,,,,,,104.742799,31.452801
74,74001,,,,,,104.743363,31.453524
74,74001,,,,,,104.743872,31.454032
74,74001,,,,,,104.744146,31.454211
74,74001,,,,,,104.744650,31.454353
74,74001,,,,,,104.747933,31.455021
74,74001,,,,,,104.747960,31.455108
74,74001,,,,,,104.747965,31.455332
74,74001,23,1,大西门,11000041,中间站,104.747913,31.455409
74,74001,,,,,,104.747971,31.455538
74,74001,,,,,,104.747960,31.456394
74,74001,,,,,,104.747987,31.458407
74,74001,24,72,兴宏国际广场,11000031,中间站,104.747983,31.458534
74,74001,,,,,,104.747992,31.458714
74,74001,,,,,,104.747987,31.460777
74,74001,,,,,,104.749392,31.460686
74,74001,25,27,市中心医院,11030033,返回站,104.749485,31.460798
74,74001,,,,,,104.749564,31.460677
74,74001,,,,,,104.753104,31.460434
74,74001,,,,,,104.753013,31.459391
74,74001,26,83,红星街,11040011,中间站,104.752981,31.459254
74,74001,,,,,,104.752986,31.459107
74,74001,,,,,,104.752691,31.456023
74,74001,27,49,万江眼科医院,11040022,中间站,104.752673,31.455924
74,74001,,,,,,104.752659,31.455771
74,74001,,,,,,104.752530,31.454389
74,74001,,,,,,104.750926,31.454659
74,74001,,,,,,104.749435,31.454874
74,74001,,,,,,104.747901,31.455071
74,74001,,,,,,104.746732,31.454842
74,74001,,,,,,104.744634,31.454417
74,74001,,,,,,104.744124,31.454261
74,74001,,,,,,104.743835,31.454078
74,74001,,,,,,104.743304,31.453556
74,74001,,,,,,104.742730,31.452820
74,74001,,,,,,104.741619,31.453382
74,74001,28,43,饮马大桥,10010131,中间站,104.741569,31.453479
74,74001,,,,,,104.741458,31.453474
74,74001,,,,,,104.739667,31.454398
74,74001,,,,,,104.738545,31.455666
74,74001,,,,,,104.737725,31.457620
74,74001,,,,,,104.736448,31.456645
74,74001,29,51,御营坝,11210054,中间站,104.736433,31.4565
74,74001,,,,,,104.736287,31.456517
74,74001,,,,,,104.734114,31.454824
74,74001,30,48,西一巷,11210024,中间站,104.734044,31.454783
74,74001,,,,,,104.733980,31.454723
74,74001,,,,,,104.733304,31.454179
74,74001,,,,,,104.733133,31.454147
74,74001,,,,,,104.732194,31.454842
74,74001,,,,,,104.732028,31.454920
74,74001,,,,,,104.731346,31.455428
74,74001,,,,,,104.730059,31.455895
74,74001,,,,,,104.729533,31.455945
74,74001,,,,,,104.728841,31.455968
74,74001,,,,,,104.728535,31.456009
74,74001,31,75,公汽司加气站,30050124,中间站,104.728493,31.456105
74,74001,,,,,,104.728401,31.456037
74,74001,,,,,,104.728010,31.456101
74,74001,,,,,,104.727248,31.456316
74,74001,,,,,,104.726534,31.456526
74,74001,,,,,,104.725971,31.456650
74,74001,,,,,,104.725510,31.456663
74,74001,,,,,,104.725220,31.456590
74,74001,,,,,,104.724716,31.456284
74,74001,,,,,,104.724029,31.455602
74,74001,32,3,洞天公园,30050014,中间站,104.723903,31.455584
74,74001,,,,,,104.723879,31.455455
74,74001,,,,,,104.723724,31.455291
74,74001,,,,,,104.722399,31.454202
74,74001,,,,,,104.720896,31.452820
74,74001,,,,,,104.720135,31.452220
74,74001,,,,,,104.719400,31.451886
74,74001,,,,,,104.718837,31.451726
74,74001,,,,,,104.717587,31.453497
74,74001,,,,,,104.716471,31.455016
74,74001,,,,,,104.715999,31.456892
74,74001,,,,,,104.715199,31.456750
74,74001,33,87,花园南街口,91100012,中间站,104.715143,31.456708
74,74001,,,,,,104.715055,31.456709
74,74001,,,,,,104.714116,31.456535
74,74001,,,,,,104.710693,31.455918
74,74001,34,79,东辰小学,11100054,中间站,104.710554,31.455961
74,74001,,,,,,104.710452,31.455872
74,74001,,,,,,104.709529,31.455712
74,74001,,,,,,104.709401,31.455703
74,74001,,,,,,104.707705,31.455382
74,74001,,,,,,104.704589,31.454815
74,74001,,,,,,104.702877,31.454504
74,74001,,,,,,104.700946,31.454220
74,74001,35,24,石桥铺村,30510012,中间站,104.700821,31.454291
74,74001,,,,,,104.700758,31.454197
74,74001,,,,,,104.699305,31.454128
74,74001,,,,,,104.698146,31.453904
74,74001,,,,,,104.697239,31.453689
74,74001,,,,,,104.694155,31.453016
74,74001,36,20,十字路口,30510014,中间站,104.693951,31.453088
74,74001,,,,,,104.693806,31.452934
74,74001,,,,,,104.691006,31.452284
74,74001,,,,,,104.691038,31.452174
74,74001,,,,,,104.691848,31.449580
74,74001,37,92,石桥铺东路,30510202,中间站,104.691931,31.44954
74,74001,,,,,,104.691891,31.449442
74,74001,,,,,,104.693093,31.445159
74,74001,38,14,居民点东门,30510034,中间站,104.692987,31.445134
74,74001,,,,,,104.692857,31.445122
74,74001,,,,,,104.690802,31.444788
74,74001,,,,,,104.690325,31.444683
74,74001,,,,,,104.688683,31.444573
74,74001,39,12,高新区实验中学,30510044,中间站,104.688551,31.444582
74,74001,,,,,,104.688431,31.444527
74,74001,,,,,,104.686720,31.444385
74,74001,,,,,,104.686221,31.444289
74,74001,40,38,招呼站(石桥铺),30510054,中间站,104.686103,31.444303
74,74001,,,,,,104.685985,31.444280
74,74001,,,,,,104.685786,31.444298
74,74001,,,,,,104.685293,31.444527
74,74001,,,,,,104.684939,31.444564
74,74001,,,,,,104.684563,31.444747
74,74001,,,,,,104.683995,31.445195
74,74001,,,,,,104.683576,31.445301
74,74001,,,,,,104.682879,31.445314
74,74001,41,16,居民点西门,30510064,中间站,104.682881,31.445389
74,74001,,,,,,104.682879,31.445470
74,74001,,,,,,104.682863,31.445690
74,74001,,,,,,104.682439,31.446230
74,74001,,,,,,104.681468,31.447163
74,74001,,,,,,104.681114,31.448088
74,74001,,,,,,104.681087,31.448989
74,74001,,,,,,104.681055,31.450692
74,74001,42,22,石桥铺八社,30510071,中间站,104.680941,31.450798
74,74001,,,,,,104.681039,31.450879
74,74001,,,,,,104.681039,31.451250
74,74001,,,,,,104.676125,31.451332
74,74001,43,5,飞云大道东段,30050044,中间站,104.675986,31.451328
74,74001,,,,,,104.675814,31.451341
74,74001,,,,,,104.673920,31.451378
74,74001,,,,,,104.673625,31.451497
74,74001,,,,,,104.671823,31.451332
74,74001,,,,,,104.670267,31.451200
74,74001,,,,,,104.668883,31.451200
74,74001,,,,,,104.667966,31.451369
74,74001,,,,,,104.667113,31.451694
74,74001,,,,,,104.665128,31.452710
74,74001,,,,,,104.663717,31.453479
74,74001,44,19,闽兴钢材市场,30050054,中间站,104.663628,31.453535
74,74001,,,,,,104.663486,31.453593
74,74001,,,,,,104.662660,31.453900
74,74001,,,,,,104.661604,31.454183
74,74001,,,,,,104.659254,31.454256
74,74001,,,,,,104.656754,31.454334
74,74001,,,,,,104.651384,31.454494
74,74001,45,30,铁骑力士集团,30050064,中间站,104.651216,31.454686
74,74001,,,,,,104.651084,31.454499
74,74001,,,,,,104.648895,31.454572
74,74001,,,,,,104.645065,31.454682
74,74001,,,,,,104.644555,31.454696
74,74001,46,34,金祥南路路口,30050074,中间站,104.644466,31.454666
74,74001,,,,,,104.644368,31.454710
74,74001,,,,,,104.639309,31.454856
74,74001,,,,,,104.638907,31.454874
74,74001,47,41,新皂路口,30050094,中间站,104.638821,31.454868
74,74001,,,,,,104.638708,31.454879
74,74001,,,,,,104.635806,31.454966
74,74001,,,,,,104.632813,31.455053
74,74001,48,7,丰谷酒业,30050104,中间站,104.632695,31.455066
74,74001,,,,,,104.632528,31.455057
74,74001,,,,,,104.630345,31.455002
74,74001,,,,,,104.629776,31.455144
74,74001,,,,,,104.628865,31.455670
74,74001,,,,,,104.628409,31.456073
74,74001,,,,,,104.628012,31.456659
74,74001,,,,,,104.631150,31.458055
74,74001,49,45,永昌路,30050114,中间站,104.631189,31.458144
74,74001,,,,,,104.631305,31.458110
74,74001,,,,,,104.632303,31.458558
74,74001,,,,,,104.631885,31.459606
74,74001,50,47,永兴,30520038,主站下客站,104.631855,31.459738
