ROUTEID,SUBROUTEID,SINGLEID,DOUBLEID,STATIONNAME,STATIONID,STATIONTYPE,STATIONLONGITUDE,STATIONLATITUDE
62,62001,1,81,火车客站广场,11090014,主站上客站,104.714701,31.459765
62,62001,,,,,,104.714684,31.459665
62,62001,,,,,,104.714701,31.459542
62,62001,,,,,,104.715661,31.459748
62,62001,,,,,,104.716610,31.460041
62,62001,2,2,临园路西段,10020033,中间站,104.716731,31.459967
62,62001,,,,,,104.716830,31.460095
62,62001,,,,,,104.719566,31.460901
62,62001,,,,,,104.721739,31.461546
62,62001,,,,,,104.722404,31.461756
62,62001,3,3,花园小区,10020043,中间站,104.722473,31.461857
62,62001,,,,,,104.722618,31.461821
62,62001,,,,,,104.727205,31.463212
62,62001,,,,,,104.727559,31.462754
62,62001,,,,,,104.728535,31.461303
62,62001,,,,,,104.728643,31.461134
62,62001,,,,,,104.728702,31.460645
62,62001,,,,,,104.728820,31.457231
62,62001,,,,,,104.728868,31.456815
62,62001,,,,,,104.729024,31.456467
62,62001,,,,,,104.729099,31.456329
62,62001,,,,,,104.729319,31.456101
62,62001,4,4,公汽司加气站,10030152,中间站,104.72937,31.456023
62,62001,,,,,,104.729501,31.455982
62,62001,,,,,,104.729662,31.455835
62,62001,,,,,,104.730021,31.455789
62,62001,,,,,,104.731255,31.455341
62,62001,,,,,,104.731920,31.454856
62,62001,,,,,,104.732065,31.454778
62,62001,5,5,绵吴路口,11210203,中间站,104.732101,31.454723
62,62001,,,,,,104.732017,31.454632
62,62001,,,,,,104.728273,31.449694
62,62001,6,6,东岳路口,11210213,中间站,104.728081,31.449666
62,62001,,,,,,104.728117,31.449497
62,62001,,,,,,104.726465,31.447291
62,62001,,,,,,104.725767,31.446056
62,62001,,,,,,104.725596,31.445671
62,62001,,,,,,104.725226,31.444550
62,62001,,,,,,104.725129,31.444321
62,62001,,,,,,104.725032,31.443616
62,62001,,,,,,104.725043,31.442014
62,62001,,,,,,104.723638,31.442133
62,62001,7,143,招呼站,11211433,中间站,104.723573,31.442178
62,62001,,,,,,104.723450,31.442161
62,62001,,,,,,104.723048,31.442220
62,62001,,,,,,104.722259,31.442440
62,62001,,,,,,104.721293,31.442884
62,62001,,,,,,104.720768,31.443149
62,62001,,,,,,104.720457,31.443438
62,62001,8,134,毅德建材城,11210763,中间站,104.720395,31.443531
62,62001,,,,,,104.720231,31.443571
62,62001,,,,,,104.717656,31.443648
62,62001,9,135,毅德五金机电城,11211373,中间站,104.717535,31.443716
62,62001,,,,,,104.717469,31.443621
62,62001,,,,,,104.717302,31.443552
62,62001,,,,,,104.717705,31.443035
62,62001,,,,,,104.718450,31.442445
62,62001,,,,,,104.719373,31.441937
62,62001,,,,,,104.720140,31.441383
62,62001,,,,,,104.721572,31.440632
62,62001,,,,,,104.721830,31.440573
62,62001,10,136,毅德百货商品城,11211383,中间站,104.721939,31.440648
62,62001,,,,,,104.721975,31.440541
62,62001,,,,,,104.722838,31.440326
62,62001,,,,,,104.725059,31.439996
62,62001,,,,,,104.725118,31.437392
62,62001,11,8,天泰食品城,11210233,中间站,104.725011,31.437298
62,62001,,,,,,104.725124,31.437204
62,62001,,,,,,104.725199,31.433639
62,62001,,,,,,104.725043,31.430796
62,62001,,,,,,104.724678,31.428755
62,62001,,,,,,104.724544,31.428302
62,62001,12,9,赵家沟,11210243,中间站,104.724458,31.428188
62,62001,,,,,,104.724485,31.428050
62,62001,,,,,,104.723176,31.423307
62,62001,13,10,雷达站,11210253,中间站,104.723059,31.423219
62,62001,,,,,,104.723123,31.423133
62,62001,,,,,,104.722495,31.420831
62,62001,,,,,,104.722463,31.420680
62,62001,14,137,招呼站（垃圾场）,11210363,中间站,104.722326,31.420596
