ROUTEID,SUBROUTEID,SINGLEID,DOUBLEID,STATIONNAME,STATIONID,STATIONTYPE,STATIONLONGITUDE,STATIONLATITUDE
20,20001,1,16,富乐汽车站,20010048,主站上客站,104.767756,31.48302
20,20001,,,,,,104.767776,31.482885
20,20001,,,,,,104.768060,31.482647
20,20001,,,,,,104.768516,31.482144
20,20001,,,,,,104.768575,31.481654
20,20001,,,,,,104.768785,31.480982
20,20001,,,,,,104.768790,31.480643
20,20001,,,,,,104.768640,31.480186
20,20001,,,,,,104.768313,31.479440
20,20001,2,17,公汽司加油站,10030071,中间站,104.768071,31.479319
20,20001,,,,,,104.768136,31.479024
20,20001,,,,,,104.767674,31.477930
20,20001,,,,,,104.767122,31.476636
20,20001,,,,,,104.766499,31.476027
20,20001,,,,,,104.765904,31.475382
20,20001,3,18,芙蓉桥,10030221,中间站,104.765687,31.475341
20,20001,,,,,,104.765620,31.475067
20,20001,,,,,,104.764761,31.474119
20,20001,,,,,,104.763849,31.473255
20,20001,,,,,,104.763007,31.472459
20,20001,4,19,招呼站（兴发家园）,20010144,中间站,104.762776,31.472329
20,20001,,,,,,104.762616,31.472115
20,20001,,,,,,104.762213,31.471782
20,20001,,,,,,104.761114,31.471219
20,20001,,,,,,104.760513,31.471118
20,20001,,,,,,104.759054,31.471104
20,20001,,,,,,104.757643,31.471077
20,20001,5,20,三医院,20010023,中间站,104.757379,31.471195
20,20001,,,,,,104.757155,31.471068
20,20001,,,,,,104.756296,31.471054
20,20001,,,,,,104.755207,31.471040
20,20001,6,8,制药厂,20010014,中间站,104.754968,31.47117
20,20001,,,,,,104.754751,31.471036
20,20001,,,,,,104.753845,31.471013
20,20001,,,,,,104.752600,31.470999
20,20001,,,,,,104.751956,31.470930
20,20001,,,,,,104.750208,31.470436
20,20001,,,,,,104.748968,31.470079
20,20001,,,,,,104.748030,31.469768
20,20001,,,,,,104.747702,31.469709
20,20001,,,,,,104.745734,31.469663
20,20001,7,29,东方红大桥,11000012,中间站,104.745487,31.469688
20,20001,,,,,,104.745288,31.469654
20,20001,,,,,,104.743685,31.469627
20,20001,,,,,,104.742091,31.469599
20,20001,,,,,,104.740809,31.469627
20,20001,,,,,,104.739758,31.469636
20,20001,,,,,,104.738315,31.469668
20,20001,,,,,,104.738325,31.469814
20,20001,8,23,长虹国际城,11060011,中间站,104.738412,31.469988
20,20001,,,,,,104.738331,31.470153
20,20001,,,,,,104.738342,31.471347
20,20001,,,,,,104.738342,31.472861
20,20001,,,,,,104.738342,31.473817
20,20001,9,24,九洲跃进路1958,11060021,中间站,104.738432,31.473945
20,20001,,,,,,104.738347,31.474097
20,20001,,,,,,104.738347,31.474874
