ROUTEID,SUBROUTEID,SINGLEID,DOUBLEID,STATIONNAME,STATIONID,STATIONTYPE,STATIONLONGITUDE,STATIONLATITUDE
328,32801,1,1,火车客站广场,11090014,主站上客站,104.714701,31.459765
328,32801,,,,,,104.714684,31.459665
328,32801,,,,,,104.714701,31.459542
328,32801,,,,,,104.715661,31.459748
328,32801,,,,,,104.716610,31.460041
328,32801,2,2,临园路西段,10020033,中间站,104.716731,31.459967
328,32801,,,,,,104.716830,31.460095
328,32801,,,,,,104.719566,31.460901
328,32801,,,,,,104.721739,31.461546
328,32801,,,,,,104.722404,31.461756
328,32801,3,3,花园小区,10020043,中间站,104.722473,31.461857
328,32801,,,,,,104.722672,31.461830
328,32801,,,,,,104.725800,31.462800
328,32801,,,,,,104.727548,31.463335
328,32801,,,,,,104.729678,31.463971
328,32801,4,4,七星楼,10020053,中间站,104.729787,31.463877
328,32801,,,,,,104.729903,31.464035
328,32801,,,,,,104.732103,31.464717
328,32801,,,,,,104.735155,31.465129
328,32801,,,,,,104.735391,31.465001
328,32801,,,,,,104.735584,31.464992
328,32801,,,,,,104.735751,31.465060
328,32801,,,,,,104.735895,31.465211
328,32801,,,,,,104.738320,31.465298
328,32801,,,,,,104.739404,31.465289
328,32801,5,5,富乐路口凯德广场,10020063,中间站,104.739521,31.46518
328,32801,,,,,,104.739661,31.465284
328,32801,,,,,,104.742258,31.465294
328,32801,,,,,,104.745299,31.465289
328,32801,,,,,,104.746597,31.465284
328,32801,6,6,汉龙桥,10020093,中间站,104.746671,31.4652
328,32801,,,,,,104.746796,31.465289
328,32801,,,,,,104.747649,31.465271
328,32801,,,,,,104.747702,31.465202
328,32801,,,,,,104.747944,31.465060
328,32801,,,,,,104.747912,31.463655
328,32801,,,,,,104.747917,31.463546
328,32801,7,7,建国门,11000022,中间站,104.747831,31.46349
328,32801,,,,,,104.747912,31.463395
328,32801,,,,,,104.747933,31.462544
328,32801,,,,,,104.747928,31.460786
328,32801,,,,,,104.749349,31.460699
328,32801,8,48,市中心医院,11030033,中间站,104.749485,31.460798
328,32801,,,,,,104.749612,31.460681
328,32801,,,,,,104.751511,31.460558
328,32801,,,,,,104.753126,31.460443
328,32801,,,,,,104.753035,31.459368
328,32801,9,49,红星街,11040011,中间站,104.752981,31.459254
328,32801,,,,,,104.753013,31.459135
328,32801,,,,,,104.752756,31.456508
328,32801,,,,,,104.752589,31.454737
328,32801,,,,,,104.752520,31.454000
328,32801,10,10,红星街南段,11040027,中间站,104.752492,31.453926
328,32801,,,,,,104.752498,31.453799
328,32801,,,,,,104.752337,31.452014
328,32801,,,,,,104.752219,31.450614
328,32801,,,,,,104.752005,31.448586
328,32801,,,,,,104.751940,31.448078
328,32801,,,,,,104.751822,31.447108
328,32801,,,,,,104.751758,31.445996
328,32801,,,,,,104.751763,31.445772
328,32801,11,11,南山加气站,10010161,中间站,104.751771,31.445685
328,32801,,,,,,104.751769,31.445580
328,32801,,,,,,104.751779,31.445278
328,32801,,,,,,104.753056,31.445516
328,32801,,,,,,104.754049,31.445717
328,32801,,,,,,104.754451,31.445799
328,32801,,,,,,104.755443,31.446033
328,32801,12,12,南山寺,10010171,中间站,104.755547,31.446001
328,32801,,,,,,104.755636,31.446079
328,32801,,,,,,104.756237,31.446220
328,32801,,,,,,104.756860,31.446312
328,32801,,,,,,104.757659,31.446275
328,32801,,,,,,104.760786,31.445630
328,32801,,,,,,104.762213,31.445310
328,32801,,,,,,104.762921,31.444985
328,32801,,,,,,104.763029,31.444907
328,32801,13,13,长虹大道南段,10010181,中间站,104.763054,31.444822
328,32801,,,,,,104.763184,31.444770
328,32801,,,,,,104.763495,31.444532
328,32801,,,,,,104.764096,31.443813
328,32801,,,,,,104.764788,31.442806
328,32801,,,,,,104.765528,31.441076
328,32801,,,,,,104.765738,31.440532
328,32801,,,,,,104.766151,31.439429
328,32801,14,14,红星村四社,40010011,中间站,104.766054,31.439235
328,32801,,,,,,104.766253,31.439163
328,32801,,,,,,104.767352,31.436389
328,32801,,,,,,104.767460,31.436142
328,32801,,,,,,104.767690,31.435602
328,32801,15,15,红星村八社,40010021,中间站,104.767529,31.435445
328,32801,,,,,,104.767771,31.435387
328,32801,,,,,,104.768731,31.433181
328,32801,,,,,,104.769058,31.432398
328,32801,16,16,南湖汽车站,40010031,中间站,104.769005,31.432245
328,32801,,,,,,104.769144,31.432192
328,32801,,,,,,104.769992,31.430229
328,32801,,,,,,104.771043,31.427798
328,32801,17,17,机场路口,40010061,中间站,104.770993,31.427606
328,32801,,,,,,104.771145,31.427537
328,32801,,,,,,104.772196,31.425097
328,32801,,,,,,104.772234,31.425001
328,32801,,,,,,104.772631,31.423719
328,32801,18,18,同立汽车城,40010071,中间站,104.772552,31.423583
328,32801,,,,,,104.772701,31.423481
328,32801,,,,,,104.773586,31.420684
328,32801,,,,,,104.773951,31.419837
328,32801,,,,,,104.774315,31.419421
328,32801,19,19,群文村,40010081,中间站,104.774228,31.419276
328,32801,,,,,,104.774508,31.419201
328,32801,,,,,,104.774728,31.418954
328,32801,,,,,,104.776123,31.417608
328,32801,,,,,,104.777722,31.416079
328,32801,20,20,加油站,40010091,中间站,104.777688,31.415844
328,32801,,,,,,104.777969,31.415836
328,32801,,,,,,104.779696,31.414175
328,32801,,,,,,104.781418,31.412531
328,32801,,,,,,104.781525,31.412421
328,32801,21,21,石桌子,40010101,中间站,104.781514,31.412296
328,32801,,,,,,104.781708,31.412265
328,32801,,,,,,104.783311,31.410823
328,32801,,,,,,104.784883,31.409413
328,32801,22,22,涪沿村,40010111,中间站,104.784871,31.409273
328,32801,,,,,,104.785060,31.409244
328,32801,,,,,,104.786648,31.407829
328,32801,,,,,,104.787195,31.407211
328,32801,,,,,,104.789346,31.403539
328,32801,23,23,卓信金楠天街,40010121,中间站,104.789358,31.403411
328,32801,,,,,,104.789470,31.403328
328,32801,,,,,,104.790387,31.401749
328,32801,,,,,,104.790725,31.401401
328,32801,,,,,,104.790886,31.401259
328,32801,,,,,,104.792345,31.399876
328,32801,,,,,,104.791718,31.399798
328,32801,24,24,塘汛夜28的返回站,40010134,返回站,104.791578,31.399795
328,32801,,,,,,104.791401,31.399798
328,32801,,,,,,104.790210,31.399368
328,32801,,,,,,104.788536,31.398901
328,32801,,,,,,104.787984,31.401135
328,32801,,,,,,104.790452,31.401735
328,32801,,,,,,104.789765,31.402912
328,32801,25,25,卓信金楠天街,40010122,中间站,104.789768,31.403032
328,32801,,,,,,104.789668,31.403095
328,32801,,,,,,104.787979,31.405993
328,32801,,,,,,104.787244,31.407238
328,32801,,,,,,104.786949,31.407568
328,32801,26,26,涪沿村,40010112,中间站,104.786961,31.407697
328,32801,,,,,,104.786777,31.407760
328,32801,,,,,,104.786686,31.407857
328,32801,,,,,,104.785050,31.409335
328,32801,,,,,,104.783526,31.410709
328,32801,27,27,石桌子,40010102,中间站,104.783525,31.410887
328,32801,,,,,,104.783349,31.410860
328,32801,,,,,,104.781858,31.412206
328,32801,,,,,,104.781042,31.412961
328,32801,,,,,,104.779739,31.414239
328,32801,28,28,加油站,40010092,中间站,104.779739,31.414353
328,32801,,,,,,104.779578,31.414367
328,32801,,,,,,104.777126,31.416734
328,32801,,,,,,104.776214,31.417617
328,32801,29,29,群文村,40010082,中间站,104.776215,31.417775
328,32801,,,,,,104.776011,31.417796
328,32801,,,,,,104.774793,31.418959
328,32801,,,,,,104.774026,31.419837
328,32801,,,,,,104.773645,31.420675
328,32801,,,,,,104.773457,31.421279
328,32801,30,30,同立汽车城,40010072,中间站,104.773568,31.421447
328,32801,,,,,,104.773382,31.421499
328,32801,,,,,,104.772760,31.423518
328,32801,,,,,,104.772250,31.425120
328,32801,,,,,,104.772014,31.425665
328,32801,31,31,机场路口,40010062,中间站,104.772139,31.425837
328,32801,,,,,,104.771923,31.425862
328,32801,,,,,,104.770748,31.428626
328,32801,,,,,,104.770072,31.430197
328,32801,32,32,南湖汽车站,40010032,中间站,104.770151,31.430336
328,32801,,,,,,104.769970,31.430393
328,32801,,,,,,104.769160,31.432330
328,32801,,,,,,104.768608,31.433602
328,32801,33,33,红星村八社,40010022,中间站,104.768585,31.43373
328,32801,,,,,,104.768527,31.433794
328,32801,,,,,,104.767449,31.436293
328,32801,,,,,,104.766870,31.437763
328,32801,34,34,红星村四社,40010012,中间站,104.766855,31.437865
328,32801,,,,,,104.766789,31.437927
328,32801,,,,,,104.765571,31.441117
328,32801,,,,,,104.764853,31.442806
328,32801,,,,,,104.764139,31.443841
328,32801,,,,,,104.763705,31.444367
328,32801,35,35,长虹大道南段,10010182,中间站,104.763694,31.444503
328,32801,,,,,,104.763576,31.444536
328,32801,,,,,,104.762964,31.445021
328,32801,,,,,,104.762240,31.445346
328,32801,,,,,,104.760861,31.445657
328,32801,,,,,,104.757659,31.446317
328,32801,,,,,,104.756860,31.446344
328,32801,,,,,,104.756548,31.446307
328,32801,36,36,南山寺,10010172,中间站,104.756429,31.446351
328,32801,,,,,,104.756318,31.446266
328,32801,,,,,,104.756200,31.446252
328,32801,,,,,,104.755374,31.446060
328,32801,,,,,,104.754016,31.445754
328,32801,,,,,,104.753094,31.445571
